university_id,university,country_code,field_category,field_category_en,field_category_it,source
22,University “Pavaresia” Vlore,AL,ENG,Engineering & Technology,Ingegneria e Tecnologia,ETER
22,University “Pavaresia” Vlore,AL,ICT,Computer Science & IT,Informatica e IT,ETER
22,University “Pavaresia” Vlore,AL,LAW,Law,Giurisprudenza,ETER
22,University “Pavaresia” Vlore,AL,SOC,Social & Political Sciences,Scienze Sociali e Politiche,ETER
23,"University of Shkodra ""Luigj Gurakuqi""",AL,AGR,"Agriculture, Forestry & Veterinary",Agraria e Veterinaria,ETER
23,"University of Shkodra ""Luigj Gurakuqi""",AL,ARC,Architecture & Urban Planning,Architettura e Urbanistica,ETER
23,"University of Shkodra ""Luigj Gurakuqi""",AL,ART,"Arts, Design & Music","Arte, Design e Musica",ETER
23,"University of Shkodra ""Luigj Gurakuqi""",AL,BUS,"Business, Economics & Management",Economia e Management,ETER
23,"University of Shkodra ""Luigj Gurakuqi""",AL,EDU,Education & Sport Sciences,Scienze della Formazione e dello Sport,ETER
23,"University of Shkodra ""Luigj Gurakuqi""",AL,ENG,Engineering & Technology,Ingegneria e Tecnologia,ETER
23,"University of Shkodra ""Luigj Gurakuqi""",AL,HUM,Humanities & Languages,Studi Umanistici e Lingue,ETER
23,"University of Shkodra ""Luigj Gurakuqi""",AL,ICT,Computer Science & IT,Informatica e IT,ETER
23,"University of Shkodra ""Luigj Gurakuqi""",AL,LAW,Law,Giurisprudenza,ETER
23,"University of Shkodra ""Luigj Gurakuqi""",AL,MED,Medicine & Health,Medicina e Salute,ETER
23,"University of Shkodra ""Luigj Gurakuqi""",AL,SCI,Natural Sciences & Mathematics,Scienze Naturali e Matematica,ETER
23,"University of Shkodra ""Luigj Gurakuqi""",AL,SOC,Social & Political Sciences,Scienze Sociali e Politiche,ETER
24,University of Tirana,AL,AGR,"Agriculture, Forestry & Veterinary",Agraria e Veterinaria,ETER
24,University of Tirana,AL,ARC,Architecture & Urban Planning,Architettura e Urbanistica,ETER
24,University of Tirana,AL,ART,"Arts, Design & Music","Arte, Design e Musica",ETER
24,University of Tirana,AL,BUS,"Business, Economics & Management",Economia e Management,ETER
24,University of Tirana,AL,EDU,Education & Sport Sciences,Scienze della Formazione e dello Sport,ETER
24,University of Tirana,AL,ENG,Engineering & Technology,Ingegneria e Tecnologia,ETER
24,University of Tirana,AL,HUM,Humanities & Languages,Studi Umanistici e Lingue,ETER
24,University of Tirana,AL,ICT,Computer Science & IT,Informatica e IT,ETER
24,University of Tirana,AL,LAW,Law,Giurisprudenza,ETER
24,University of Tirana,AL,MED,Medicine & Health,Medicina e Salute,ETER
24,University of Tirana,AL,SCI,Natural Sciences & Mathematics,Scienze Naturali e Matematica,ETER
24,University of Tirana,AL,SOC,Social & Political Sciences,Scienze Sociali e Politiche,ETER
25,"University of Vlora ""Ismail Qemali""",AL,AGR,"Agriculture, Forestry & Veterinary",Agraria e Veterinaria,ETER
25,"University of Vlora ""Ismail Qemali""",AL,ARC,Architecture & Urban Planning,Architettura e Urbanistica,ETER
25,"University of Vlora ""Ismail Qemali""",AL,ART,"Arts, Design & Music","Arte, Design e Musica",ETER
25,"University of Vlora ""Ismail Qemali""",AL,BUS,"Business, Economics & Management",Economia e Management,ETER
25,"University of Vlora ""Ismail Qemali""",AL,EDU,Education & Sport Sciences,Scienze della Formazione e dello Sport,ETER
25,"University of Vlora ""Ismail Qemali""",AL,ENG,Engineering & Technology,Ingegneria e Tecnologia,ETER
25,"University of Vlora ""Ismail Qemali""",AL,HUM,Humanities & Languages,Studi Umanistici e Lingue,ETER
25,"University of Vlora ""Ismail Qemali""",AL,ICT,Computer Science & IT,Informatica e IT,ETER
25,"University of Vlora ""Ismail Qemali""",AL,LAW,Law,Giurisprudenza,ETER
25,"University of Vlora ""Ismail Qemali""",AL,MED,Medicine & Health,Medicina e Salute,ETER
25,"University of Vlora ""Ismail Qemali""",AL,SCI,Natural Sciences & Mathematics,Scienze Naturali e Matematica,ETER
25,"University of Vlora ""Ismail Qemali""",AL,SOC,Social & Political Sciences,Scienze Sociali e Politiche,ETER
26,"University of Korca ""Fan Noli""",AL,AGR,"Agriculture, Forestry & Veterinary",Agraria e Veterinaria,ETER
26,"University of Korca ""Fan Noli""",AL,ARC,Architecture & Urban Planning,Architettura e Urbanistica,ETER
26,"University of Korca ""Fan Noli""",AL,ART,"Arts, Design & Music","Arte, Design e Musica",ETER
26,"University of Korca ""Fan Noli""",AL,BUS,"Business, Economics & Management",Economia e Management,ETER
26,"University of Korca ""Fan Noli""",AL,EDU,Education & Sport Sciences,Scienze della Formazione e dello Sport,ETER
26,"University of Korca ""Fan Noli""",AL,ENG,Engineering & Technology,Ingegneria e Tecnologia,ETER
26,"University of Korca ""Fan Noli""",AL,HUM,Humanities & Languages,Studi Umanistici e Lingue,ETER
26,"University of Korca ""Fan Noli""",AL,ICT,Computer Science & IT,Informatica e IT,ETER
26,"University of Korca ""Fan Noli""",AL,LAW,Law,Giurisprudenza,ETER
26,"University of Korca ""Fan Noli""",AL,MED,Medicine & Health,Medicina e Salute,ETER
26,"University of Korca ""Fan Noli""",AL,SCI,Natural Sciences & Mathematics,Scienze Naturali e Matematica,ETER
26,"University of Korca ""Fan Noli""",AL,SOC,Social & Political Sciences,Scienze Sociali e Politiche,ETER
27,University of New York Tirana,AL,BUS,"Business, Economics & Management",Economia e Management,ETER
27,University of New York Tirana,AL,EDU,Education & Sport Sciences,Scienze della Formazione e dello Sport,ETER
27,University of New York Tirana,AL,ICT,Computer Science & IT,Informatica e IT,ETER
27,University of New York Tirana,AL,LAW,Law,Giurisprudenza,ETER
27,University of New York Tirana,AL,SOC,Social & Political Sciences,Scienze Sociali e Politiche,ETER
28,"University of Gjirokstra ""Eqerem Cabej""",AL,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),name-heuristic
29,Polytechnic University of Tirana,AL,ENG,Engineering & Technology,Ingegneria e Tecnologia,name-heuristic
30,Ecole pour l'Informatique et les nouvelles Technologies - Albania,AL,ENG,Engineering & Technology,Ingegneria e Tecnologia,name-heuristic
31,University of Andorra,AD,BUS,"Business, Economics & Management",Economia e Management,ETER
31,University of Andorra,AD,EDU,Education & Sport Sciences,Scienze della Formazione e dello Sport,ETER
31,University of Andorra,AD,ICT,Computer Science & IT,Informatica e IT,ETER
31,University of Andorra,AD,LAW,Law,Giurisprudenza,ETER
31,University of Andorra,AD,MED,Medicine & Health,Medicina e Salute,ETER
32,Akademie der bildenden Künste Wien,AT,ART,"Arts, Design & Music","Arte, Design e Musica",name-heuristic
33,Universität für Bodenkultur Wien,AT,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),name-heuristic
34,Donau-Universität Krems,AT,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),name-heuristic
35,Fachhochschule Burgenland,AT,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),name-heuristic
36,Fachhochschulstudiengänge Hagenberg,AT,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),name-heuristic
37,Fachhochschule JOANNEUM,AT,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),name-heuristic
38,Fachhochschule Kärnten,AT,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),name-heuristic
39,Fachhochschule Krems,AT,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),name-heuristic
40,Fachhochschule Kufstein (Tirol),AT,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),name-heuristic
41,Fachhochschule Salzburg,AT,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),name-heuristic
42,Fachhochschulstudiengänge Steyr,AT,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),name-heuristic
43,Fachhochschule St. Pölten,AT,AGR,"Agriculture, Forestry & Veterinary",Agraria e Veterinaria,ETER
43,Fachhochschule St. Pölten,AT,ARC,Architecture & Urban Planning,Architettura e Urbanistica,ETER
43,Fachhochschule St. Pölten,AT,ART,"Arts, Design & Music","Arte, Design e Musica",ETER
43,Fachhochschule St. Pölten,AT,BUS,"Business, Economics & Management",Economia e Management,ETER
43,Fachhochschule St. Pölten,AT,EDU,Education & Sport Sciences,Scienze della Formazione e dello Sport,ETER
43,Fachhochschule St. Pölten,AT,ENG,Engineering & Technology,Ingegneria e Tecnologia,ETER
43,Fachhochschule St. Pölten,AT,HUM,Humanities & Languages,Studi Umanistici e Lingue,ETER
43,Fachhochschule St. Pölten,AT,ICT,Computer Science & IT,Informatica e IT,ETER
43,Fachhochschule St. Pölten,AT,LAW,Law,Giurisprudenza,ETER
43,Fachhochschule St. Pölten,AT,MED,Medicine & Health,Medicina e Salute,ETER
43,Fachhochschule St. Pölten,AT,SCI,Natural Sciences & Mathematics,Scienze Naturali e Matematica,ETER
43,Fachhochschule St. Pölten,AT,SOC,Social & Political Sciences,Scienze Sociali e Politiche,ETER
44,Fachhochschule Vorarlberg,AT,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),name-heuristic
45,Fachhochschule für Bank- und Finanzwirtschaft,AT,BUS,"Business, Economics & Management",Economia e Management,name-heuristic
46,Fachhochschulstudiengänge der Wiener Wirtschaft,AT,BUS,"Business, Economics & Management",Economia e Management,name-heuristic
47,Fachhochschulstudiengänge Wels,AT,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),name-heuristic
48,Fachhochschule Wiener Neustadt,AT,AGR,"Agriculture, Forestry & Veterinary",Agraria e Veterinaria,ETER
48,Fachhochschule Wiener Neustadt,AT,ARC,Architecture & Urban Planning,Architettura e Urbanistica,ETER
48,Fachhochschule Wiener Neustadt,AT,BUS,"Business, Economics & Management",Economia e Management,ETER
48,Fachhochschule Wiener Neustadt,AT,EDU,Education & Sport Sciences,Scienze della Formazione e dello Sport,ETER
48,Fachhochschule Wiener Neustadt,AT,ENG,Engineering & Technology,Ingegneria e Tecnologia,ETER
48,Fachhochschule Wiener Neustadt,AT,ICT,Computer Science & IT,Informatica e IT,ETER
48,Fachhochschule Wiener Neustadt,AT,LAW,Law,Giurisprudenza,ETER
48,Fachhochschule Wiener Neustadt,AT,MED,Medicine & Health,Medicina e Salute,ETER
48,Fachhochschule Wiener Neustadt,AT,SCI,Natural Sciences & Mathematics,Scienze Naturali e Matematica,ETER
48,Fachhochschule Wiener Neustadt,AT,SOC,Social & Political Sciences,Scienze Sociali e Politiche,ETER
49,Fachhochschulstudiengänge Krems IMC,AT,AGR,"Agriculture, Forestry & Veterinary",Agraria e Veterinaria,ETER
49,Fachhochschulstudiengänge Krems IMC,AT,ARC,Architecture & Urban Planning,Architettura e Urbanistica,ETER
49,Fachhochschulstudiengänge Krems IMC,AT,BUS,"Business, Economics & Management",Economia e Management,ETER
49,Fachhochschulstudiengänge Krems IMC,AT,ENG,Engineering & Technology,Ingegneria e Tecnologia,ETER
49,Fachhochschulstudiengänge Krems IMC,AT,ICT,Computer Science & IT,Informatica e IT,ETER
49,Fachhochschulstudiengänge Krems IMC,AT,LAW,Law,Giurisprudenza,ETER
49,Fachhochschulstudiengänge Krems IMC,AT,MED,Medicine & Health,Medicina e Salute,ETER
49,Fachhochschulstudiengänge Krems IMC,AT,SOC,Social & Political Sciences,Scienze Sociali e Politiche,ETER
50,Medizinische Universität Innsbruck,AT,MED,Medicine & Health,Medicina e Salute,name-heuristic
51,Institute of Science and Technology,AT,ENG,Engineering & Technology,Ingegneria e Tecnologia,name-heuristic
52,Universität Graz,AT,AGR,"Agriculture, Forestry & Veterinary",Agraria e Veterinaria,ETER
52,Universität Graz,AT,ARC,Architecture & Urban Planning,Architettura e Urbanistica,ETER
52,Universität Graz,AT,ART,"Arts, Design & Music","Arte, Design e Musica",ETER
52,Universität Graz,AT,BUS,"Business, Economics & Management",Economia e Management,ETER
52,Universität Graz,AT,EDU,Education & Sport Sciences,Scienze della Formazione e dello Sport,ETER
52,Universität Graz,AT,ENG,Engineering & Technology,Ingegneria e Tecnologia,ETER
52,Universität Graz,AT,HUM,Humanities & Languages,Studi Umanistici e Lingue,ETER
52,Universität Graz,AT,ICT,Computer Science & IT,Informatica e IT,ETER
52,Universität Graz,AT,LAW,Law,Giurisprudenza,ETER
52,Universität Graz,AT,MED,Medicine & Health,Medicina e Salute,ETER
52,Universität Graz,AT,SCI,Natural Sciences & Mathematics,Scienze Naturali e Matematica,ETER
52,Universität Graz,AT,SOC,Social & Political Sciences,Scienze Sociali e Politiche,ETER
53,Universität für künstlerische und industrielle Gestaltung Linz,AT,ART,"Arts, Design & Music","Arte, Design e Musica",name-heuristic
54,Katholisch-Theologische Privatuniversität Linz,AT,THEO,Theology & Religious Studies,Teologia e Studi Religiosi,name-heuristic
55,Universität für Musik und darstellende Kunst Graz,AT,ART,"Arts, Design & Music","Arte, Design e Musica",name-heuristic
56,MCI-Management Center Innsbruck,AT,AGR,"Agriculture, Forestry & Veterinary",Agraria e Veterinaria,ETER
56,MCI-Management Center Innsbruck,AT,ARC,Architecture & Urban Planning,Architettura e Urbanistica,ETER
56,MCI-Management Center Innsbruck,AT,BUS,"Business, Economics & Management",Economia e Management,ETER
56,MCI-Management Center Innsbruck,AT,ENG,Engineering & Technology,Ingegneria e Tecnologia,ETER
56,MCI-Management Center Innsbruck,AT,ICT,Computer Science & IT,Informatica e IT,ETER
56,MCI-Management Center Innsbruck,AT,LAW,Law,Giurisprudenza,ETER
56,MCI-Management Center Innsbruck,AT,MED,Medicine & Health,Medicina e Salute,ETER
56,MCI-Management Center Innsbruck,AT,SOC,Social & Political Sciences,Scienze Sociali e Politiche,ETER
57,Universität für Musik und darstellende Kunst Wien,AT,ART,"Arts, Design & Music","Arte, Design e Musica",name-heuristic
58,Medizinische Universität Graz,AT,MED,Medicine & Health,Medicina e Salute,name-heuristic
59,Medizinische Universität Wien,AT,MED,Medicine & Health,Medicina e Salute,name-heuristic
60,Universität Mozarteum Salzburg,AT,ART,"Arts, Design & Music","Arte, Design e Musica",ETER
60,Universität Mozarteum Salzburg,AT,EDU,Education & Sport Sciences,Scienze della Formazione e dello Sport,ETER
60,Universität Mozarteum Salzburg,AT,HUM,Humanities & Languages,Studi Umanistici e Lingue,ETER
61,Universität für angewandte Kunst Wien,AT,ART,"Arts, Design & Music","Arte, Design e Musica",name-heuristic
62,Universität Salzburg,AT,AGR,"Agriculture, Forestry & Veterinary",Agraria e Veterinaria,ETER
62,Universität Salzburg,AT,ARC,Architecture & Urban Planning,Architettura e Urbanistica,ETER
62,Universität Salzburg,AT,ART,"Arts, Design & Music","Arte, Design e Musica",ETER
62,Universität Salzburg,AT,BUS,"Business, Economics & Management",Economia e Management,ETER
62,Universität Salzburg,AT,EDU,Education & Sport Sciences,Scienze della Formazione e dello Sport,ETER
62,Universität Salzburg,AT,ENG,Engineering & Technology,Ingegneria e Tecnologia,ETER
62,Universität Salzburg,AT,HUM,Humanities & Languages,Studi Umanistici e Lingue,ETER
62,Universität Salzburg,AT,ICT,Computer Science & IT,Informatica e IT,ETER
62,Universität Salzburg,AT,LAW,Law,Giurisprudenza,ETER
62,Universität Salzburg,AT,MED,Medicine & Health,Medicina e Salute,ETER
62,Universität Salzburg,AT,SCI,Natural Sciences & Mathematics,Scienze Naturali e Matematica,ETER
62,Universität Salzburg,AT,SOC,Social & Political Sciences,Scienze Sociali e Politiche,ETER
63,Technikum Wien,AT,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),name-heuristic
64,Technische Universität Graz,AT,ENG,Engineering & Technology,Ingegneria e Tecnologia,name-heuristic
65,Technische Universität Wien,AT,ENG,Engineering & Technology,Ingegneria e Tecnologia,name-heuristic
66,Universität Innsbruck,AT,AGR,"Agriculture, Forestry & Veterinary",Agraria e Veterinaria,ETER
66,Universität Innsbruck,AT,ARC,Architecture & Urban Planning,Architettura e Urbanistica,ETER
66,Universität Innsbruck,AT,ART,"Arts, Design & Music","Arte, Design e Musica",ETER
66,Universität Innsbruck,AT,BUS,"Business, Economics & Management",Economia e Management,ETER
66,Universität Innsbruck,AT,EDU,Education & Sport Sciences,Scienze della Formazione e dello Sport,ETER
66,Universität Innsbruck,AT,ENG,Engineering & Technology,Ingegneria e Tecnologia,ETER
66,Universität Innsbruck,AT,HUM,Humanities & Languages,Studi Umanistici e Lingue,ETER
66,Universität Innsbruck,AT,ICT,Computer Science & IT,Informatica e IT,ETER
66,Universität Innsbruck,AT,LAW,Law,Giurisprudenza,ETER
66,Universität Innsbruck,AT,MED,Medicine & Health,Medicina e Salute,ETER
66,Universität Innsbruck,AT,SCI,Natural Sciences & Mathematics,Scienze Naturali e Matematica,ETER
66,Universität Innsbruck,AT,SOC,Social & Political Sciences,Scienze Sociali e Politiche,ETER
67,Private Universität für Medizinische Informatik und Technik Tirol,AT,MED,Medicine & Health,Medicina e Salute,name-heuristic
68,Universität Klagenfurt,AT,AGR,"Agriculture, Forestry & Veterinary",Agraria e Veterinaria,ETER
68,Universität Klagenfurt,AT,ARC,Architecture & Urban Planning,Architettura e Urbanistica,ETER
68,Universität Klagenfurt,AT,ART,"Arts, Design & Music","Arte, Design e Musica",ETER
68,Universität Klagenfurt,AT,BUS,"Business, Economics & Management",Economia e Management,ETER
68,Universität Klagenfurt,AT,EDU,Education & Sport Sciences,Scienze della Formazione e dello Sport,ETER
68,Universität Klagenfurt,AT,ENG,Engineering & Technology,Ingegneria e Tecnologia,ETER
68,Universität Klagenfurt,AT,HUM,Humanities & Languages,Studi Umanistici e Lingue,ETER
68,Universität Klagenfurt,AT,ICT,Computer Science & IT,Informatica e IT,ETER
68,Universität Klagenfurt,AT,LAW,Law,Giurisprudenza,ETER
68,Universität Klagenfurt,AT,MED,Medicine & Health,Medicina e Salute,ETER
68,Universität Klagenfurt,AT,SCI,Natural Sciences & Mathematics,Scienze Naturali e Matematica,ETER
68,Universität Klagenfurt,AT,SOC,Social & Political Sciences,Scienze Sociali e Politiche,ETER
69,Montanuniversität Leoben,AT,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),name-heuristic
70,Johannes Kepler Universität Linz,AT,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),name-heuristic
71,Universität Vienna,AT,AGR,"Agriculture, Forestry & Veterinary",Agraria e Veterinaria,ETER
71,Universität Vienna,AT,ARC,Architecture & Urban Planning,Architettura e Urbanistica,ETER
