university_id,university,country_code,field_category,field_category_en,field_category_it,source
1,Hellenic College of Noah,GR,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),name-heuristic
2,Wroclaw Akademia Biznesu,PL,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),name-heuristic
3,West Herts College,GB,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),name-heuristic
4,National Institute of Applied Sciences of Toulouse,FR,AGR,"Agriculture, Forestry & Veterinary",Agraria e Veterinaria,ETER
4,National Institute of Applied Sciences of Toulouse,FR,ARC,Architecture & Urban Planning,Architettura e Urbanistica,ETER
4,National Institute of Applied Sciences of Toulouse,FR,ART,"Arts, Design & Music","Arte, Design e Musica",ETER
4,National Institute of Applied Sciences of Toulouse,FR,BUS,"Business, Economics & Management",Economia e Management,ETER
4,National Institute of Applied Sciences of Toulouse,FR,EDU,Education & Sport Sciences,Scienze della Formazione e dello Sport,ETER
4,National Institute of Applied Sciences of Toulouse,FR,ENG,Engineering & Technology,Ingegneria e Tecnologia,ETER
4,National Institute of Applied Sciences of Toulouse,FR,HUM,Humanities & Languages,Studi Umanistici e Lingue,ETER
4,National Institute of Applied Sciences of Toulouse,FR,ICT,Computer Science & IT,Informatica e IT,ETER
4,National Institute of Applied Sciences of Toulouse,FR,LAW,Law,Giurisprudenza,ETER
4,National Institute of Applied Sciences of Toulouse,FR,SCI,Natural Sciences & Mathematics,Scienze Naturali e Matematica,ETER
4,National Institute of Applied Sciences of Toulouse,FR,SOC,Social & Political Sciences,Scienze Sociali e Politiche,ETER
5,Kharkiv National University,UA,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),name-heuristic
6,IÉSEG School of Management,FR,BUS,"Business, Economics & Management",Economia e Management,name-heuristic
7,Royal Holloway University of London,GB,ART,"Arts, Design & Music","Arte, Design e Musica",ETER
7,Royal Holloway University of London,GB,BUS,"Business, Economics & Management",Economia e Management,ETER
7,Royal Holloway University of London,GB,EDU,Education & Sport Sciences,Scienze della Formazione e dello Sport,ETER
7,Royal Holloway University of London,GB,HUM,Humanities & Languages,Studi Umanistici e Lingue,ETER
7,Royal Holloway University of London,GB,ICT,Computer Science & IT,Informatica e IT,ETER
7,Royal Holloway University of London,GB,LAW,Law,Giurisprudenza,ETER
7,Royal Holloway University of London,GB,SCI,Natural Sciences & Mathematics,Scienze Naturali e Matematica,ETER
7,Royal Holloway University of London,GB,SOC,Social & Political Sciences,Scienze Sociali e Politiche,ETER
8,University of Portsmouth,GB,AGR,"Agriculture, Forestry & Veterinary",Agraria e Veterinaria,ETER
8,University of Portsmouth,GB,ARC,Architecture & Urban Planning,Architettura e Urbanistica,ETER
8,University of Portsmouth,GB,ART,"Arts, Design & Music","Arte, Design e Musica",ETER
8,University of Portsmouth,GB,BUS,"Business, Economics & Management",Economia e Management,ETER
8,University of Portsmouth,GB,EDU,Education & Sport Sciences,Scienze della Formazione e dello Sport,ETER
8,University of Portsmouth,GB,ENG,Engineering & Technology,Ingegneria e Tecnologia,ETER
8,University of Portsmouth,GB,HUM,Humanities & Languages,Studi Umanistici e Lingue,ETER
8,University of Portsmouth,GB,ICT,Computer Science & IT,Informatica e IT,ETER
8,University of Portsmouth,GB,LAW,Law,Giurisprudenza,ETER
8,University of Portsmouth,GB,MED,Medicine & Health,Medicina e Salute,ETER
8,University of Portsmouth,GB,SCI,Natural Sciences & Mathematics,Scienze Naturali e Matematica,ETER
8,University of Portsmouth,GB,SOC,Social & Political Sciences,Scienze Sociali e Politiche,ETER
9,Central Supélec,FR,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),name-heuristic
10,Académie de Paris,FR,ARC,Architecture & Urban Planning,Architettura e Urbanistica,ETER
10,Académie de Paris,FR,ART,"Arts, Design & Music","Arte, Design e Musica",ETER
10,Académie de Paris,FR,BUS,"Business, Economics & Management",Economia e Management,ETER
10,Académie de Paris,FR,EDU,Education & Sport Sciences,Scienze della Formazione e dello Sport,ETER
10,Académie de Paris,FR,ENG,Engineering & Technology,Ingegneria e Tecnologia,ETER
10,Académie de Paris,FR,HUM,Humanities & Languages,Studi Umanistici e Lingue,ETER
10,Académie de Paris,FR,ICT,Computer Science & IT,Informatica e IT,ETER
10,Académie de Paris,FR,LAW,Law,Giurisprudenza,ETER
10,Académie de Paris,FR,MED,Medicine & Health,Medicina e Salute,ETER
10,Académie de Paris,FR,SCI,Natural Sciences & Mathematics,Scienze Naturali e Matematica,ETER
10,Académie de Paris,FR,SOC,Social & Political Sciences,Scienze Sociali e Politiche,ETER
11,Académie d'Aix-Marseille,FR,EDU,Education & Sport Sciences,Scienze della Formazione e dello Sport,ETER
12,Académie de Créteil,FR,EDU,Education & Sport Sciences,Scienze della Formazione e dello Sport,ETER
13,Futureworks,GB,ART,"Arts, Design & Music","Arte, Design e Musica",ETER
13,Futureworks,GB,HUM,Humanities & Languages,Studi Umanistici e Lingue,ETER
13,Futureworks,GB,ICT,Computer Science & IT,Informatica e IT,ETER
14,University of the Arts London,GB,ARC,Architecture & Urban Planning,Architettura e Urbanistica,ETER
14,University of the Arts London,GB,ART,"Arts, Design & Music","Arte, Design e Musica",ETER
14,University of the Arts London,GB,BUS,"Business, Economics & Management",Economia e Management,ETER
14,University of the Arts London,GB,EDU,Education & Sport Sciences,Scienze della Formazione e dello Sport,ETER
14,University of the Arts London,GB,ENG,Engineering & Technology,Ingegneria e Tecnologia,ETER
14,University of the Arts London,GB,HUM,Humanities & Languages,Studi Umanistici e Lingue,ETER
14,University of the Arts London,GB,ICT,Computer Science & IT,Informatica e IT,ETER
14,University of the Arts London,GB,LAW,Law,Giurisprudenza,ETER
14,University of the Arts London,GB,MED,Medicine & Health,Medicina e Salute,ETER
14,University of the Arts London,GB,SCI,Natural Sciences & Mathematics,Scienze Naturali e Matematica,ETER
14,University of the Arts London,GB,SOC,Social & Political Sciences,Scienze Sociali e Politiche,ETER
15,Academy of Sports and Physical Training,AL,EDU,Education & Sport Sciences,Scienze della Formazione e dello Sport,name-heuristic
16,Academy of Arts,AL,ART,"Arts, Design & Music","Arte, Design e Musica",name-heuristic
17,Beder University,AL,ART,"Arts, Design & Music","Arte, Design e Musica",ETER
17,Beder University,AL,BUS,"Business, Economics & Management",Economia e Management,ETER
17,Beder University,AL,EDU,Education & Sport Sciences,Scienze della Formazione e dello Sport,ETER
17,Beder University,AL,HUM,Humanities & Languages,Studi Umanistici e Lingue,ETER
17,Beder University,AL,ICT,Computer Science & IT,Informatica e IT,ETER
17,Beder University,AL,LAW,Law,Giurisprudenza,ETER
17,Beder University,AL,SOC,Social & Political Sciences,Scienze Sociali e Politiche,ETER
18,Epoka University,AL,ARC,Architecture & Urban Planning,Architettura e Urbanistica,ETER
18,Epoka University,AL,BUS,"Business, Economics & Management",Economia e Management,ETER
18,Epoka University,AL,ENG,Engineering & Technology,Ingegneria e Tecnologia,ETER
18,Epoka University,AL,ICT,Computer Science & IT,Informatica e IT,ETER
18,Epoka University,AL,LAW,Law,Giurisprudenza,ETER
18,Epoka University,AL,SOC,Social & Political Sciences,Scienze Sociali e Politiche,ETER
19,American University of Tirana,AL,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),name-heuristic
20,Agricultural University of Tirana,AL,AGR,"Agriculture, Forestry & Veterinary",Agraria e Veterinaria,ETER
20,Agricultural University of Tirana,AL,ARC,Architecture & Urban Planning,Architettura e Urbanistica,ETER
20,Agricultural University of Tirana,AL,BUS,"Business, Economics & Management",Economia e Management,ETER
20,Agricultural University of Tirana,AL,ENG,Engineering & Technology,Ingegneria e Tecnologia,ETER
20,Agricultural University of Tirana,AL,ICT,Computer Science & IT,Informatica e IT,ETER
20,Agricultural University of Tirana,AL,LAW,Law,Giurisprudenza,ETER
20,Agricultural University of Tirana,AL,MED,Medicine & Health,Medicina e Salute,ETER
20,Agricultural University of Tirana,AL,SCI,Natural Sciences & Mathematics,Scienze Naturali e Matematica,ETER
20,Agricultural University of Tirana,AL,SOC,Social & Political Sciences,Scienze Sociali e Politiche,ETER
21,"University of Elbasan ""Aleksander Xhuvani""",AL,AGR,"Agriculture, Forestry & Veterinary",Agraria e Veterinaria,ETER
21,"University of Elbasan ""Aleksander Xhuvani""",AL,ARC,Architecture & Urban Planning,Architettura e Urbanistica,ETER
21,"University of Elbasan ""Aleksander Xhuvani""",AL,ART,"Arts, Design & Music","Arte, Design e Musica",ETER
21,"University of Elbasan ""Aleksander Xhuvani""",AL,BUS,"Business, Economics & Management",Economia e Management,ETER
21,"University of Elbasan ""Aleksander Xhuvani""",AL,EDU,Education & Sport Sciences,Scienze della Formazione e dello Sport,ETER
21,"University of Elbasan ""Aleksander Xhuvani""",AL,ENG,Engineering & Technology,Ingegneria e Tecnologia,ETER
21,"University of Elbasan ""Aleksander Xhuvani""",AL,HUM,Humanities & Languages,Studi Umanistici e Lingue,ETER
21,"University of Elbasan ""Aleksander Xhuvani""",AL,ICT,Computer Science & IT,Informatica e IT,ETER
21,"University of Elbasan ""Aleksander Xhuvani""",AL,LAW,Law,Giurisprudenza,ETER
21,"University of Elbasan ""Aleksander Xhuvani""",AL,MED,Medicine & Health,Medicina e Salute,ETER
21,"University of Elbasan ""Aleksander Xhuvani""",AL,SCI,Natural Sciences & Mathematics,Scienze Naturali e Matematica,ETER
21,"University of Elbasan ""Aleksander Xhuvani""",AL,SOC,Social & Political Sciences,Scienze Sociali e Politiche,ETER
22,University “Pavaresia” Vlore,AL,ARC,Architecture & Urban Planning,Architettura e Urbanistica,ETER
22,University “Pavaresia” Vlore,AL,BUS,"Business, Economics & Management",Economia e Management,ETER
