city,country,country_code,monthly_room_rent_eur,source_url,note
Salzburg,Austria,AT,415,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 804.36/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 691; room = round(1bed*0.6)"
Sankt Pölten,Austria,AT,299,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 579.56/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 498; room = round(1bed*0.6); data_quality flag=0 (Numbeo: low contributor count)"
Steyr,Austria,AT,299,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 579.56/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 498; room = round(1bed*0.6); data_quality flag=0 (Numbeo: low contributor count)"
Vienna,Austria,AT,570,https://housinganywhere.com/Vienna--Austria/vienna-cost-of-living,HousingAnywhere Vienna cost-of-living: furnished private room with utilities EUR 570/mo
Banja Luka,Bosnia and Herzegovina,BA,100,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 194.86/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 167; room = round(1bed*0.6)"
Bihać,Bosnia and Herzegovina,BA,47,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 91.38/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 79; room = round(1bed*0.6); data_quality flag=0 (Numbeo: low contributor count)"
Mostar,Bosnia and Herzegovina,BA,72,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 139.10/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 120; room = round(1bed*0.6)"
Sarajevo,Bosnia and Herzegovina,BA,99,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 192.29/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 165; room = round(1bed*0.6)"
Tuzla,Bosnia and Herzegovina,BA,80,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 155.29/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 133; room = round(1bed*0.6)"
Antwerpen,Belgium,BE,650,https://housinganywhere.com/s/Antwerp--Belgium/private-rooms,"HousingAnywhere Antwerp private-room listings, representative avg ~EUR 650/mo (platform listing average)"
Brussels,Belgium,BE,525,https://housinganywhere.com/s/Brussels--Belgium/private-rooms,"HousingAnywhere Brussels private-room listings, representative avg ~EUR 500-550/mo (platform listing average)"
Gent,Belgium,BE,395,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 766.60/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 659; room = round(1bed*0.6)"
Hasselt,Belgium,BE,389,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 755.18/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 649; room = round(1bed*0.6); data_quality flag=0 (Numbeo: low contributor count)"
Leuven,Belgium,BE,524,https://www.numbeo.com/cost-of-living/in/Leuven,derived from Numbeo 1-bedroom rent x0.6 (single-room share estimate)
Liège,Belgium,BE,285,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 553.22/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 475; room = round(1bed*0.6)"
Burgas,Bulgaria,BG,126,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 244.60/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 210; room = round(1bed*0.6)"
Gabrovo,Bulgaria,BG,50,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 97.17/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 83; room = round(1bed*0.6); data_quality flag=0 (Numbeo: low contributor count)"
Pleven,Bulgaria,BG,129,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 250.81/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 215; room = round(1bed*0.6); data_quality flag=0 (Numbeo: low contributor count)"
Plovdiv,Bulgaria,BG,113,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 218.76/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 188; room = round(1bed*0.6)"
Ruse,Bulgaria,BG,60,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 115.77/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 99; room = round(1bed*0.6); data_quality flag=0 (Numbeo: low contributor count)"
Shumen,Bulgaria,BG,86,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 166.84/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 143; room = round(1bed*0.6); data_quality flag=0 (Numbeo: low contributor count)"
Sofia,Bulgaria,BG,174,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 336.90/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 289; room = round(1bed*0.6)"
Varna,Bulgaria,BG,123,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 239.55/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 206; room = round(1bed*0.6)"
Brest,Belarus,BY,60,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 115.70/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 99; room = round(1bed*0.6)"
Hrodna,Belarus,BY,89,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 172.85/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 148; room = round(1bed*0.6); data_quality flag=0 (Numbeo: low contributor count)"
Minsk,Belarus,BY,149,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 289.89/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 249; room = round(1bed*0.6)"
Basel,Switzerland,CH,626,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 1213.92/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 1043; room = round(1bed*0.6)"
Bern,Switzerland,CH,519,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 1006.81/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 865; room = round(1bed*0.6)"
Fribourg,Switzerland,CH,367,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 712.30/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 612; room = round(1bed*0.6)"
Geneva,Switzerland,CH,1000,https://housinganywhere.com/s/Geneva--Switzerland,"HousingAnywhere Geneva: rooms typically CHF 800-1100/mo; midpoint ~CHF 950 -> ~EUR 1000/mo (platform estimate, lower confidence)"
Lausanne,Switzerland,CH,894,https://www.numbeo.com/cost-of-living/in/Lausanne,derived from Numbeo 1-bedroom rent x0.6 (single-room share estimate)
Luzern,Switzerland,CH,569,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 1104.07/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 949; room = round(1bed*0.6)"
Neuchâtel,Switzerland,CH,425,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 825.38/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 709; room = round(1bed*0.6)"
Solothurn,Switzerland,CH,596,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 1156.60/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 994; room = round(1bed*0.6); data_quality flag=0 (Numbeo: low contributor count)"
Zurich,Switzerland,CH,1250,https://www.numbeo.com/cost-of-living/in/Zurich,derived from Numbeo 1-bedroom rent x0.6 (single-room share estimate)
Zürich,Switzerland,CH,1300,https://housinganywhere.com/s/Zurich--Switzerland/private-rooms,HousingAnywhere Zurich: central rooms CHF 900-1500/mo per FAQ; midpoint ~CHF 1200; converted at CHF/EUR ~0.93x (1 CHF ~ 1.07 EUR) -> ~EUR 1300/mo (platform estimate)
Nicosia,Cyprus,CY,270,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 524.39/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 451; room = round(1bed*0.6)"
Brno,Czech Republic,CZ,287,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 556.59/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 478; room = round(1bed*0.6)"
Hradec Králové,Czech Republic,CZ,263,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 509.83/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 438; room = round(1bed*0.6)"
Liberec,Czech Republic,CZ,212,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 410.96/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 353; room = round(1bed*0.6); data_quality flag=0 (Numbeo: low contributor count)"
Mladá Boleslav,Czech Republic,CZ,270,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 522.84/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 449; room = round(1bed*0.6); data_quality flag=0 (Numbeo: low contributor count)"
Olomouc,Czech Republic,CZ,208,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 403.75/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 347; room = round(1bed*0.6)"
Ostrava,Czech Republic,CZ,211,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 408.82/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 351; room = round(1bed*0.6)"
Pardubice,Czech Republic,CZ,234,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 454.22/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 390; room = round(1bed*0.6)"
Prague,Czech Republic,CZ,556,https://www.numbeo.com/cost-of-living/in/Prague,derived from Numbeo 1-bedroom rent x0.6 (single-room share estimate)
Zlín,Czech Republic,CZ,245,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 475.84/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 409; room = round(1bed*0.6); data_quality flag=0 (Numbeo: low contributor count)"
Aachen,Germany,DE,229,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 443.82/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 381; room = round(1bed*0.6)"
Aalen,Germany,DE,263,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 509.31/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 438; room = round(1bed*0.6); data_quality flag=0 (Numbeo: low contributor count)"
Aschaffenburg,Germany,DE,344,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 667.37/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 573; room = round(1bed*0.6); data_quality flag=0 (Numbeo: low contributor count)"
Augsburg,Germany,DE,305,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 591.85/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 508; room = round(1bed*0.6)"
Bad Honnef,Germany,DE,380,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 737.62/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 634; room = round(1bed*0.6); data_quality flag=0 (Numbeo: low contributor count)"
Bamberg,Germany,DE,370,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 718.30/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 617; room = round(1bed*0.6); data_quality flag=0 (Numbeo: low contributor count)"
Bayreuth,Germany,DE,323,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 625.66/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 538; room = round(1bed*0.6); data_quality flag=0 (Numbeo: low contributor count)"
Berlin,Germany,DE,633,https://housinganywhere.com/rent-index-by-city,HousingAnywhere International Rent Index Q4 2025: furnished room EUR 633/mo
Bielefeld,Germany,DE,360,https://www.moses-mendelssohn-institut.de/aktuelles/Studentische_Wohnkosten_Hochschulorte_WiSe_2025_2026/,"WG-Gesucht / Moses Mendelssohn Institut, WG-Zimmer warm, WiSe 2025/26 (released Sep 2025)"
Bochum,Germany,DE,217,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 421.50/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 362; room = round(1bed*0.6)"
Bonn,Germany,DE,525,https://www.moses-mendelssohn-institut.de/aktuelles/Studentische_Wohnkosten_Hochschulorte_WiSe_2025_2026/,"WG-Gesucht / Moses Mendelssohn Institut, WG-Zimmer warm, WiSe 2025/26 (released Sep 2025)"
Braunschweig,Germany,DE,215,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 417.99/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 359; room = round(1bed*0.6)"
Bremen,Germany,DE,260,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 504.29/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 433; room = round(1bed*0.6)"
Bremerhaven,Germany,DE,253,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 491.75/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 422; room = round(1bed*0.6); data_quality flag=0 (Numbeo: low contributor count)"
Chemnitz,Germany,DE,290,https://www.wg-gesucht.de/en/artikel/deutsche-studentenstaedte-im-preisvergleich-wo-ein-wg-zimmer-aktuell-am-guenstigsten-ist,"WG-Gesucht/MMI WiSe 2024/25, cheapest German university city"
Cottbus,Germany,DE,148,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 287.25/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 247; room = round(1bed*0.6); data_quality flag=0 (Numbeo: low contributor count)"
Darmstadt,Germany,DE,356,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 690.79/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 593; room = round(1bed*0.6)"
Dortmund,Germany,DE,199,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 386.37/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 332; room = round(1bed*0.6)"
Dresden,Germany,DE,435,https://www.wg-gesucht.de/en/artikel/mietspiegel-wie-viel-kostet-ein-wg-zimmer-in-deutschen-staedten,WG-Gesucht/MMI summer semester 2025 warm rent
Düsseldorf,Germany,DE,600,https://www.moses-mendelssohn-institut.de/aktuelles/Studentische_Wohnkosten_Hochschulorte_WiSe_2025_2026/,"WG-Gesucht / Moses Mendelssohn Institut, WG-Zimmer warm, WiSe 2025/26 (released Sep 2025)"
Erfurt,Germany,DE,225,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 437.30/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 376; room = round(1bed*0.6); data_quality flag=0 (Numbeo: low contributor count)"
Essen,Germany,DE,231,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 447.84/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 385; room = round(1bed*0.6)"
Flensburg,Germany,DE,239,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 463.65/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 398; room = round(1bed*0.6); data_quality flag=0 (Numbeo: low contributor count)"
Frankfurt am Main,Germany,DE,620,https://housinganywhere.com/s/Frankfurt-am-Main--Germany/private-rooms,"HousingAnywhere Frankfurt private-room listings, representative avg ~EUR 620/mo (platform listing average, utilities incl.); wg-gesucht 2024 stated EUR 680"
Freiburg,Germany,DE,490,https://www.wg-gesucht.de/en/artikel/mietspiegel-wie-viel-kostet-ein-wg-zimmer-in-deutschen-staedten,WG-Gesucht/MMI summer semester 2025 warm rent
