city,country,country_code,monthly_room_rent_eur,source_url,note
Andorra la Vella,Andorra,AD,333,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 645.42/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 554; room = round(1bed*0.6); data_quality flag=0 (Numbeo: low contributor count)"
Elbasan,Albania,AL,70,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 135.17/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 116; room = round(1bed*0.6); data_quality flag=0 (Numbeo: low contributor count)"
Korçë,Albania,AL,56,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 108.13/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 93; room = round(1bed*0.6); data_quality flag=0 (Numbeo: low contributor count)"
Shkodër,Albania,AL,55,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 105.88/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 91; room = round(1bed*0.6); data_quality flag=0 (Numbeo: low contributor count)"
Tirana,Albania,AL,266,https://www.numbeo.com/cost-of-living/in/Tirana,derived from Numbeo 1-bedroom rent x0.6 (single-room share estimate)
Vlorë,Albania,AL,54,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 103.96/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 89; room = round(1bed*0.6)"
Graz,Austria,AT,490,https://housinganywhere.com/s/Graz--Austria/private-rooms,"HousingAnywhere Graz private-room listings, representative avg ~EUR 480-500/mo (platform listing average, utilities incl.)"
Innsbruck,Austria,AT,401,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 778.60/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 669; room = round(1bed*0.6)"
Klagenfurt am Wörthersee,Austria,AT,280,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 542.68/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 466; room = round(1bed*0.6)"
Linz,Austria,AT,314,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,"Numbeo Cost-of-Living dataset (Kaggle mirror), Apartment (1 bedroom) Outside of Centre USD 609.86/mo; converted USD->EUR at 1 EUR=1.1640 USD (ECB 2026-06-05) = EUR 524; room = round(1bed*0.6)"
