the_name,country,matched_university_id,world_rank,overall_score,teaching,research,citations_or_research_quality,international_outlook,industry_income
Humboldt University of Berlin,Germany,749,89,67.2,52.6,60.6,85.5,77.6,65.9
University of Copenhagen,Denmark,286,90,67.1,51.3,52.2,91.3,76.6,92.8
Charité - Universitätsmedizin Berlin,Germany,,91,66.9,47.2,48.7,98.2,72.4,100.0
RWTH Aachen University,Germany,,=92,66.7,54.9,63.0,76.7,70.3,100.0
University of Bonn,Germany,,=92,66.7,51.5,56.6,88.5,71.8,78.7
Lund University,Sweden,1915,=95,66.6,49.1,56.7,85.7,79.2,99.7
University of Vienna,Austria,71,=95,66.6,50.0,60.9,79.8,94.0,80.0
KTH Royal Institute of Technology,Sweden,1912,=98,66.3,51.1,57.3,79.7,90.5,97.2
University of Birmingham,United Kingdom,2093,=98,66.3,47.7,48.4,93.7,94.3,74.2
University of Tübingen,Germany,,=98,66.3,49.1,53.8,89.0,74.6,98.6
Aarhus University,Denmark,266,101,66.2,48.6,58.8,83.9,75.3,99.8
University of Helsinki,Finland,310,=105,65.7,50.4,57.3,90.1,58.6,70.7
Erasmus University Rotterdam,Netherlands,1140,107,65.6,38.5,52.9,95.9,87.1,89.2
University of Bern,Switzerland,1969,=108,65.4,46.6,47.0,92.0,86.3,99.4
University of Sheffield,United Kingdom,2198,=108,65.4,49.7,49.1,88.3,90.4,79.4
Free University of Berlin,Germany,,=113,65.2,50.2,58.3,82.2,79.5,72.4
University of Oslo,Norway,1197,=113,65.2,47.8,52.5,90.3,76.5,75.2
Ghent University,Belgium,,115,65.1,48.8,58.6,82.7,65.9,99.9
University of Leeds,United Kingdom,2154,118,64.9,48.3,50.3,87.2,93.6,71.6
University of Basel,Switzerland,1965,120,64.5,50.2,42.8,87.5,94.2,99.8
Technical University of Denmark,Denmark,276,121,64.4,51.2,46.5,82.6,93.0,99.9
University of Göttingen,Germany,,=122,64.1,49.4,52.7,87.2,70.1,71.0
University of Warwick,United Kingdom,2234,=122,64.1,48.1,49.3,85.6,95.6,69.4
University of Hamburg,Germany,814,=125,63.7,45.7,52.8,87.1,63.6,99.8
University of Lausanne,Switzerland,1972,=125,63.7,44.3,46.1,89.0,88.4,99.4
Uppsala University,Sweden,1927,128,63.5,47.4,54.9,81.3,71.5,95.0
University of Southampton,United Kingdom,2204,129,63.4,44.6,45.4,89.6,96.1,73.1
University of Bologna,Italy,1012,130,63.3,54.2,50.1,83.3,59.7,82.5
Maastricht University,Netherlands,1169,=131,63.2,41.4,46.1,88.3,96.7,98.3
Lomonosov Moscow State University,Russian Federation,1599,133,63.0,80.9,69.7,32.9,71.6,93.4
Queen Mary University of London,United Kingdom,2181,=134,62.9,38.7,42.6,95.7,97.5,76.5
Scuola Normale Superiore di Pisa,Italy,,137,62.8,58.6,46.9,86.4,59.3,37.7
University of Freiburg,Germany,,=138,62.6,46.7,47.4,84.5,77.1,99.7
University of Liverpool,United Kingdom,2158,143,62.2,43.5,42.0,91.2,95.0,68.0
Newcastle University,United Kingdom,2171,144,62.1,39.8,43.2,93.0,89.5,80.0
University of Barcelona,Spain,1830,=145,62.0,44.0,47.8,88.5,64.6,92.4
University of Nottingham,United Kingdom,2175,=145,62.0,45.8,43.3,87.3,91.8,72.1
Radboud University Nijmegen,Netherlands,,=154,61.5,38.5,49.7,89.3,75.9,82.1
University of York,United Kingdom,2240,=154,61.5,44.1,43.9,87.5,90.6,67.6
Technical University of Berlin,Germany,806,=160,61.0,45.2,52.8,77.8,70.3,95.2
University of St Andrews,United Kingdom,2207,=162,60.9,50.6,43.3,78.2,94.4,71.9
University of Cologne,Germany,,=164,60.8,44.5,46.5,83.9,70.2,94.2
Karlsruhe Institute of Technology,Germany,,=166,60.7,49.3,54.9,69.3,73.1,100.0
University of Geneva,Switzerland,1967,=166,60.7,43.8,40.0,85.2,96.1,85.7
Sapienza University of Rome,Italy,,=170,60.6,55.9,53.5,73.4,42.9,85.2
University of Antwerp,Belgium,,=170,60.6,38.9,44.3,89.6,73.4,98.5
University of Exeter,United Kingdom,2123,=170,60.6,36.6,42.1,94.0,93.4,59.1
Trinity College Dublin,Ireland,974,173,60.5,42.8,44.9,83.2,91.2,76.2
TU Dresden,Germany,,174,60.4,47.1,50.0,77.0,66.1,99.9
Durham University,United Kingdom,2118,175,60.3,45.2,44.9,81.0,94.6,62.8
Vrije Universiteit Amsterdam,Netherlands,1174,=176,60.2,37.7,41.8,91.8,84.3,77.5
University of Würzburg,Germany,,179,60.1,39.6,43.5,91.2,59.9,99.8
Medical University of Vienna,Austria,,=181,59.9,36.3,36.8,94.2,83.2,99.9
Universitat Autònoma de Barcelona (UAB),Spain,1824,183,59.8,44.9,44.8,84.6,69.5,73.3
Lancaster University,United Kingdom,2150,=184,59.7,40.9,40.8,86.7,95.1,67.2
Université Catholique de Louvain,Belgium,140,=184,59.7,40.0,47.7,80.7,80.3,95.2
Pompeu Fabra University,Spain,1878,=187,59.5,36.6,45.3,87.5,80.1,81.6
University of Twente,Netherlands,1170,=190,59.3,45.7,45.0,73.0,92.4,98.9
Université Paris Cité,France,,=190,59.3,44.4,38.0,89.9,73.1,68.0
Eindhoven University of Technology,Netherlands,1167,=192,59.2,47.7,49.5,67.0,88.6,100.0
University of Leicester,United Kingdom,2153,=192,59.2,35.4,34.9,95.9,94.8,69.0
Aalto University,Finland,338,=195,59.0,44.3,43.4,78.9,80.7,91.0
University of Münster,Germany,,=195,59.0,43.9,47.2,83.2,54.4,82.1
Queen’s University Belfast,United Kingdom,,=198,58.8,34.7,38.4,90.8,98.3,70.0
Cardiff University,United Kingdom,2107,201–250,56.4,35.9,39.1,86.0,88.4,70.3
Chalmers University of Technology,Sweden,1895,201–250,56.4,42.6,45.9,71.2,76.7,97.1
Friedrich Schiller University Jena,Germany,842,201–250,56.4,44.0,42.5,83.5,62.0,88.7
Goethe University Frankfurt,Germany,,201–250,56.4,42.2,41.9,82.1,68.9,81.4
Linköping University,Sweden,1914,201–250,56.4,31.1,40.4,89.1,70.3,96.8
Medical University of Graz,Austria,,201–250,56.4,29.7,35.1,92.0,81.3,97.9
Medical University of Innsbruck,Austria,,201–250,56.4,33.8,30.1,90.9,88.3,99.4
Politecnico di Milano,Italy,,201–250,56.4,46.2,51.9,67.8,65.5,98.0
Sant’Anna School of Advanced Studies – Pisa,Italy,1006,201–250,56.4,50.2,38.3,77.5,56.8,93.7
Stockholm University,Sweden,1913,201–250,56.4,33.5,48.4,87.2,76.5,66.1
University College Dublin,Ireland,976,201–250,56.4,35.5,41.7,84.0,89.4,74.9
University of Aberdeen,United Kingdom,2079,201–250,56.4,38.0,34.8,82.3,96.4,79.6
University of Erlangen-Nuremberg,Germany,,201–250,56.4,41.7,46.5,78.6,64.2,100.0
University of Gothenburg,Sweden,,201–250,56.4,34.8,43.2,91.1,62.7,78.8
University of Mannheim,Germany,854,201–250,56.4,37.0,44.5,85.5,71.1,88.2
University of Padua,Italy,1042,201–250,56.4,46.4,41.0,80.0,53.2,78.9
University of Potsdam,Germany,862,201–250,56.4,37.9,44.3,81.7,66.4,92.4
University of Reading,United Kingdom,2186,201–250,56.4,41.7,38.1,85.2,94.2,66.9
University of Surrey,United Kingdom,2212,201–250,56.4,36.3,34.4,89.5,96.0,71.6
University of Sussex,United Kingdom,2213,201–250,56.4,34.3,36.0,88.9,94.8,64.8
Université Libre de Bruxelles,Belgium,143,201–250,56.4,36.7,44.8,81.3,86.9,68.3
Vrije Universiteit Brussel,Belgium,148,201–250,56.4,37.8,42.5,80.4,76.6,93.6
Aalborg University,Denmark,267,251–300,54.3,33.6,44.9,80.6,72.4,88.0
Central European University,Austria,,251–300,54.3,50.0,34.4,76.3,92.6,28.3
Heinrich Heine University Düsseldorf,Germany,826,251–300,54.3,36.2,34.3,84.3,67.2,83.9
Humanitas University,Italy,,251–300,54.3,36.6,29.0,98.5,64.0,64.0
LUT University,Finland,,251–300,54.3,31.6,35.3,87.9,71.0,75.4
RCSI University of Medicine and Health Sciences,Ireland,,251–300,54.3,32.2,37.0,82.1,91.4,78.5
Ruhr University Bochum,Germany,793,251–300,54.3,39.9,46.1,72.6,63.7,98.9
Semmelweis University,Hungary,,251–300,54.3,45.4,28.8,83.5,76.5,75.1
Technical University of Darmstadt,Germany,738,251–300,54.3,43.1,46.8,65.7,73.1,99.8
Ulm University,Germany,870,251–300,54.3,42.3,31.6,83.1,64.8,91.2
University of Bath,United Kingdom,2087,251–300,54.3,39.8,35.1,81.0,93.2,67.1
University of Bergen,Norway,1182,251–300,54.3,35.3,36.4,84.1,75.8,75.4
University of East Anglia,United Kingdom,2222,251–300,54.3,34.7,30.2,89.1,87.3,62.0
University of Konstanz,Germany,849,251–300,54.3,38.5,42.8,72.9,75.8,95.7
University of Luxembourg,Luxembourg,,251–300,54.3,39.9,39.3,75.1,92.1,79.8
University of Navarra,Spain,1860,251–300,54.3,37.2,34.1,81.9,74.4,90.7
University of Oulu,Finland,319,251–300,54.3,36.7,39.5,85.8,63.6,70.9
University of Southern Denmark,Denmark,278,251–300,54.3,30.4,36.0,87.3,75.8,98.1
University of Stuttgart,Germany,867,251–300,54.3,44.5,48.4,63.4,58.5,99.9
Università Cattolica del Sacro Cuore,Italy,,251–300,54.3,37.4,32.9,89.6,47.8,81.9
Università della Svizzera italiana,Switzerland,1964,251–300,54.3,41.1,29.7,80.3,98.2,92.9
Vita-Salute San Raffaele University,Italy,,251–300,54.3,34.3,34.0,98.8,51.3,66.3
Bauman Moscow State Technical University,Russian Federation,1471,301–350,51.6,68.4,42.8,43.0,59.6,54.4
"Birkbeck, University of London",United Kingdom,2089,301–350,51.6,34.2,32.2,76.0,91.6,65.5
"City St George's, University of London",United Kingdom,2382,301–350,51.6,27.4,30.1,91.8,95.6,65.0
Dublin City University,Ireland,958,301–350,51.6,28.5,36.6,88.6,71.1,69.0
Hasselt University,Belgium,142,301–350,51.6,35.0,37.8,72.8,71.2,87.8
Johannes Gutenberg University of Mainz,Germany,853,301–350,51.6,38.9,27.1,83.0,66.0,72.3
Koç University,Turkey,,301–350,51.6,34.6,41.9,70.6,59.2,91.2
Loughborough University,United Kingdom,2151,301–350,51.6,34.8,32.9,76.1,89.4,70.2
Norwegian University of Science and Technology,Norway,1194,301–350,51.6,36.7,39.1,75.9,64.6,71.4
Swansea University,United Kingdom,2245,301–350,51.6,30.8,30.6,87.4,88.6,58.3
TU Wien,Austria,,301–350,51.6,44.2,47.2,55.5,85.3,99.9
Tampere University,Finland,329,301–350,51.6,31.2,38.7,80.2,53.8,85.2
Tilburg University,Netherlands,1165,301–350,51.6,29.1,42.9,73.8,85.2,78.9
University of Bayreuth,Germany,819,301–350,51.6,39.8,41.3,68.6,68.0,84.5
University of Bremen,Germany,735,301–350,51.6,39.7,39.6,72.3,63.0,78.9
University of Duisburg-Essen,Germany,827,301–350,51.6,35.4,34.6,82.7,64.3,87.4
University of Dundee,United Kingdom,2117,301–350,51.6,28.5,32.6,82.1,91.7,87.0
University of Essex,United Kingdom,2122,301–350,51.6,30.1,30.2,81.0,97.3,61.2
University of Hohenheim,Germany,841,301–350,51.6,36.0,36.4,78.4,61.3,76.7
University of Innsbruck,Austria,66,301–350,51.6,35.7,36.8,69.6,93.7,87.8
University of Liège,Belgium,2282,301–350,51.6,34.8,41.8,72.7,72.5,97.5
University of Milan,Italy,999,301–350,51.6,38.9,32.5,86.1,47.2,71.2
University of Naples Federico II,Italy,1038,301–350,51.6,40.0,31.8,83.9,35.2,72.5
University of Rome II – Tor Vergata,Italy,,301–350,51.6,40.4,36.1,71.7,65.7,86.0
University of Tartu,Estonia,305,301–350,51.6,34.5,31.4,84.0,59.7,65.1
University of Turku,Finland,336,301–350,51.6,34.2,35.6,83.4,52.6,66.0
École Normale Supérieure de Lyon,France,414,301–350,51.6,56.8,44.0,51.9,64.4,90.2
Autonomous University of Madrid,Spain,,351–400,49.9,41.8,31.3,73.4,56.2,66.5
Justus Liebig University Giessen,Germany,,351–400,49.9,35.0,39.2,72.5,62.7,71.3
Leibniz University Hannover,Germany,,351–400,49.9,38.8,41.7,64.3,56.9,84.3
Middle East Technical University,Turkey,,351–400,49.9,46.4,44.8,52.2,57.7,90.2
Moscow Institute of Physics and Technology (MIPT),Russian Federation,1582,351–400,49.9,57.8,44.3,42.5,66.2,80.8
Sabancı University,Turkey,,351–400,49.9,33.0,38.8,67.5,65.6,99.0
Swedish University of Agricultural Sciences,Sweden,1923,351–400,49.9,35.5,34.8,76.0,53.8,87.8
University College Cork,Ireland,975,351–400,49.9,29.3,33.2,78.7,79.0,77.6
University of Brescia,Italy,1013,351–400,49.9,35.4,24.7,88.0,43.2,72.0
University of Florence,Italy,1027,351–400,49.9,37.6,37.9,75.9,46.7,76.7
University of Galway,Ireland,977,351–400,49.9,30.2,34.7,76.9,77.6,86.7
University of Kiel,Germany,,351–400,49.9,32.5,33.4,81.8,62.2,64.4
University of Pavia,Italy,1046,351–400,49.9,38.9,31.9,77.0,52.2,78.9
University of Pisa,Italy,1005,351–400,49.9,36.3,34.7,77.7,43.2,67.7
University of Siena,Italy,1055,351–400,49.9,39.3,35.1,75.0,46.7,75.5
University of St Gallen,Switzerland,1971,351–400,49.9,33.3,23.0,80.8,93.6,66.6
University of Strathclyde,United Kingdom,2210,351–400,49.9,37.0,35.2,66.4,90.5,79.7
University of Trento,Italy,1061,351–400,49.9,34.6,35.2,77.4,61.5,70.3
Université Grenoble Alpes,France,512,351–400,49.9,42.6,36.7,62.7,69.4,70.0
Verona University,Italy,1068,351–400,49.9,34.6,31.1,81.6,45.0,71.1
Aston University,United Kingdom,2084,401–500,46.2,21.7,26.2,83.6,95.7,64.6
Bournemouth University,United Kingdom,2095,401–500,46.2,18.8,21.7,89.3,89.2,46.4
Boğaziçi University,Turkey,,401–500,46.2,32.9,36.1,60.9,61.6,94.0
Brunel University of London,United Kingdom,,401–500,46.2,24.0,26.6,81.8,98.1,64.9
Charles University,Czechia,,401–500,46.2,37.9,32.2,64.8,64.7,63.4
Free University of Bozen-Bolzano,Italy,1014,401–500,46.2,31.4,21.9,83.7,78.2,51.3
Heriot-Watt University,United Kingdom,2139,401–500,46.2,33.4,30.3,58.8,95.5,70.3
IMT Atlantique,France,362,401–500,46.2,47.3,35.5,48.3,81.2,97.8
Institut Agro,France,,401–500,46.2,48.4,34.9,58.2,64.2,78.7
Johannes Kepler University of Linz,Austria,70,401–500,46.2,36.7,35.4,61.4,75.6,98.5
Leuphana University of Lüneburg,Germany,2272,401–500,46.2,23.5,28.1,83.2,66.0,33.6
Marche Polytechnic University,Italy,,401–500,46.2,35.8,26.4,75.9,33.9,72.6
Montpellier University,France,540,401–500,46.2,39.5,33.5,68.7,66.8,68.7
National and Kapodistrian University of Athens,Greece,,401–500,46.2,24.4,26.8,78.0,55.7,92.5
Near East University,Northern Cyprus,,401–500,46.2,27.4,21.7,78.5,90.0,54.4
Northumbria University,United Kingdom,2228,401–500,46.2,23.6,25.5,80.5,91.4,47.8
Polytechnic University of Turin,Italy,1000,401–500,46.2,31.6,30.0,71.0,56.6,86.7
Roskilde University,Denmark,291,401–500,46.2,25.9,34.1,74.6,54.7,73.9
"Royal Holloway, University of London",United Kingdom,7,401–500,46.2,32.3,28.9,72.2,92.5,65.1
SOAS University of London,United Kingdom,,401–500,46.2,38.7,34.7,59.9,79.9,38.9
Umeå University,Sweden,1926,401–500,46.2,30.0,33.1,80.2,62.1,63.2
University of Bordeaux,France,353,401–500,46.2,36.8,28.0,68.6,64.6,68.3
University of Coimbra,Portugal,1374,401–500,46.2,33.8,42.1,61.5,54.7,81.4
University of Cyprus,Cyprus,224,401–500,46.2,28.9,30.7,69.2,74.1,70.2
University of Eastern Finland,Finland,,401–500,46.2,28.6,31.1,76.6,49.7,67.6
University of Fribourg,Switzerland,1966,401–500,46.2,39.1,33.8,62.4,81.3,71.9
University of Genoa,Italy,1028,401–500,46.2,39.4,30.9,74.6,46.9,76.2
University of Greifswald,Germany,,401–500,46.2,35.1,31.3,69.5,51.4,58.3
University of Jyväskylä,Finland,314,401–500,46.2,31.9,34.4,77.2,48.6,49.1
University of Kent,United Kingdom,,401–500,46.2,29.5,28.4,73.2,92.6,64.4
University of Lisbon,Portugal,,401–500,46.2,31.1,41.8,66.8,60.3,75.3
University of Marburg,Germany,,401–500,46.2,37.8,32.1,72.0,61.9,70.8
University of Milan-Bicocca,Italy,1034,401–500,46.2,25.1,27.1,87.7,46.3,68.1
University of Porto,Portugal,,401–500,46.2,33.7,39.1,70.2,56.0,67.8
University of Portsmouth,United Kingdom,8,401–500,46.2,22.0,20.1,88.7,94.5,51.1
University of Regensburg,Germany,863,401–500,46.2,36.3,30.8,70.9,58.4,67.6
University of Turin,Italy,1000,401–500,46.2,24.3,31.9,81.7,44.3,74.0
University of Vaasa,Finland,321,401–500,46.2,23.7,28.1,90.5,67.4,35.6
Bangor University,United Kingdom,,501–600,43.6,28.3,26.0,70.3,87.1,63.2
Campus Bio-Medico University of Rome,Italy,1018,501–600,43.6,36.9,27.2,73.3,33.6,54.1
Ca’ Foscari University of Venice,Italy,,501–600,43.6,38.0,38.0,53.2,65.9,61.3
Complutense University of Madrid,Spain,1838,501–600,43.6,43.7,34.5,57.6,49.1,56.6
Constructor University,Germany,,501–600,43.6,34.9,32.2,51.4,94.0,92.4
Cyprus University of Technology,Cyprus,223,501–600,43.6,28.9,25.6,75.1,68.5,36.3
"Goldsmiths, University of London",United Kingdom,2129,501–600,43.6,28.2,23.5,71.2,80.8,48.8
HSE University,Russian Federation,,501–600,43.6,31.7,43.7,54.6,49.2,90.7
Hamburg University of Technology,Germany,,501–600,43.6,38.1,26.0,56.9,61.8,86.0
Istanbul Technical University,Turkey,,501–600,43.6,39.7,41.7,50.4,44.1,93.0
Jagiellonian University,Poland,,501–600,43.6,43.8,33.6,51.1,45.7,54.2
Keele University,United Kingdom,2146,501–600,43.6,23.5,22.6,75.5,82.3,63.8
Liverpool John Moores University,United Kingdom,2159,501–600,43.6,19.7,19.7,83.8,79.9,51.2
Maynooth University,Ireland,,501–600,43.6,23.5,34.4,68.7,75.0,50.5
Middlesex University,United Kingdom,,501–600,43.6,22.4,18.7,76.1,92.5,45.3
NOVA University of Lisbon,Portugal,,501–600,43.6,30.2,36.4,59.7,62.0,75.8
Polytechnic University of Bari,Italy,998,501–600,43.6,27.0,31.1,72.8,36.7,73.9
RPTU University Kaiserslautern-Landau,Germany,,501–600,43.6,36.1,30.9,56.3,51.1,83.2
Royal Veterinary College,United Kingdom,,501–600,43.6,31.9,21.5,66.2,93.0,64.4
Saarland University,Germany,,501–600,43.6,32.5,19.2,73.1,78.8,68.7
TU Dortmund University,Germany,,501–600,43.6,36.0,35.3,57.0,56.5,71.5
University of Bradford,United Kingdom,2096,501–600,43.6,21.4,21.4,76.1,93.3,58.5
University of Catania,Italy,1022,501–600,43.6,31.4,22.0,78.7,47.2,59.0
University of Ferrara,Italy,1025,501–600,43.6,31.9,26.8,70.3,44.0,68.5
University of Graz,Austria,52,501–600,43.6,32.3,24.1,65.3,81.2,51.0
University of Huddersfield,United Kingdom,2136,501–600,43.6,25.6,23.9,73.9,89.3,51.3
University of Hull,United Kingdom,2137,501–600,43.6,27.3,23.8,72.9,87.8,57.5
University of Iceland,Iceland,947,501–600,43.6,24.6,35.3,69.3,55.2,83.1
University of Limerick,Ireland,978,501–600,43.6,28.6,34.6,61.7,75.0,73.1
University of Messina,Italy,1033,501–600,43.6,35.6,28.1,71.8,36.6,64.3
University of Modena and Reggio Emilia,Italy,,501–600,43.6,34.7,25.7,72.9,38.9,77.9
University of Nicosia,Cyprus,234,501–600,43.6,19.3,24.1,81.3,90.2,51.7
University of Palermo,Italy,1041,501–600,43.6,33.3,30.5,66.7,37.0,54.7
University of Plymouth,United Kingdom,2180,501–600,43.6,23.0,21.2,77.9,82.2,65.8
University of Salerno,Italy,1051,501–600,43.6,30.6,30.2,72.7,36.9,63.1
University of Siegen,Germany,866,501–600,43.6,30.4,36.7,63.6,60.0,63.6
University of Stirling,United Kingdom,2208,501–600,43.6,24.4,26.3,74.6,91.1,45.6
University of Toulouse,France,4,501–600,43.6,32.5,30.7,62.9,67.7,71.0
University of Trieste,Italy,1069,501–600,43.6,34.3,27.7,72.4,50.9,57.6
University of Valencia,Spain,1890,501–600,43.6,31.8,27.7,70.9,52.6,68.5
Wroclaw Medical University,Poland,,501–600,43.6,43.5,17.9,76.5,37.5,48.1
Aberystwyth University,United Kingdom,2080,601–800,39.0,26.9,22.2,61.9,83.1,62.1
Amedeo Avogadro University of Eastern Piedmont,Italy,,601–800,39.0,25.6,24.8,70.6,47.8,52.9
Anglia Ruskin University (ARU),United Kingdom,2083,601–800,39.0,18.5,14.6,83.6,91.0,34.1
Bilkent University,Turkey,,601–800,39.0,28.4,35.5,51.3,63.2,99.5
Centrale Nantes,France,365,601–800,39.0,39.9,31.2,41.7,85.4,86.1
Claude Bernard University Lyon 1,France,534,601–800,39.0,27.0,26.4,62.6,60.2,70.1
Coventry University,United Kingdom,2112,601–800,39.0,21.6,15.1,73.5,94.4,44.9
Cyprus International University,Northern Cyprus,,601–800,39.0,17.8,12.1,83.5,83.9,17.5
Czech University of Life Sciences Prague (CZU),Czechia,,601–800,39.0,25.1,17.5,64.9,78.5,47.3
De Montfort University,United Kingdom,,601–800,39.0,17.7,16.4,70.5,92.9,50.4
Eastern Mediterranean University,Northern Cyprus,,601–800,39.0,20.2,12.7,77.2,77.3,30.9
Edinburgh Napier University,United Kingdom,2170,601–800,39.0,17.5,19.7,75.3,90.3,41.2
Graz University of Technology,Austria,,601–800,39.0,41.9,22.7,46.5,79.4,95.3
Harokopio University of Athens,Greece,,601–800,39.0,20.8,24.2,79.3,39.5,40.2
ISCTE-University Institute of Lisbon,Portugal,,601–800,39.0,29.8,35.9,54.9,50.8,59.9
Kadir Has University,Turkey,,601–800,39.0,19.4,31.7,67.1,56.1,32.8
London Metropolitan University,United Kingdom,2162,601–800,39.0,16.6,14.4,76.6,91.3,30.2
London South Bank University,United Kingdom,2378,601–800,39.0,18.5,13.0,75.6,95.9,48.1
Manchester Metropolitan University,United Kingdom,2169,601–800,39.0,20.8,19.5,78.3,83.0,42.7
Masaryk University,Czechia,,601–800,39.0,26.8,32.6,57.1,66.2,51.1
Nantes Université,France,544,601–800,39.0,29.3,21.4,65.6,59.8,67.6
National Research Nuclear University MEPhI,Russian Federation,,601–800,39.0,49.3,35.0,29.2,72.6,63.4
Nottingham Trent University,United Kingdom,2176,601–800,39.0,20.8,14.1,83.3,89.1,38.1
Obuda University,Hungary,2276,601–800,39.0,17.4,30.9,72.8,48.8,27.2
Otto von Guericke University of Magdeburg,Germany,852,601–800,39.0,34.6,18.2,56.6,72.6,57.7
Paderborn University,Germany,860,601–800,39.0,31.1,35.9,51.4,50.0,70.7
Paris Lodron Universität Salzburg,Austria,,601–800,39.0,32.3,21.8,51.8,92.1,49.6
Parthenope University of Naples,Italy,,601–800,39.0,18.9,22.8,78.0,35.4,34.8
Polytechnic University of Valencia,Spain,1890,601–800,39.0,32.3,26.2,50.4,57.2,86.8
Rovira i Virgili University,Spain,1885,601–800,39.0,28.2,25.1,62.5,57.6,57.5
SRUC (Scotland’s Rural College),United Kingdom,,601–800,39.0,25.2,14.9,75.4,65.4,28.0
Sciences Po,France,,601–800,39.0,30.1,24.8,67.9,82.9,18.6
TU Braunschweig,Germany,,601–800,39.0,36.0,24.3,58.5,57.7,77.5
Tallinn University of Technology,Estonia,304,601–800,39.0,26.2,24.9,66.0,58.4,69.2
Teesside University,United Kingdom,2216,601–800,39.0,20.6,14.3,72.9,87.9,29.8
Tomsk State University,Russian Federation,1694,601–800,39.0,50.5,38.3,27.0,74.7,55.9
UWE Bristol (University of the West of England),United Kingdom,2230,601–800,39.0,18.8,14.6,73.3,81.2,59.2
UiT The Arctic University of Norway,Norway,,601–800,39.0,27.3,23.1,67.6,66.0,48.9
Ulster University,United Kingdom,2321,601–800,39.0,22.8,22.8,65.7,95.0,54.3
Universitat Politècnica de Catalunya,Spain,,601–800,39.0,34.2,22.6,58.7,61.7,75.8
University of Aveiro,Portugal,1370,601–800,39.0,31.6,31.5,53.8,46.3,55.3
University of Bari Aldo Moro,Italy,,601–800,39.0,20.0,25.8,71.4,38.1,64.6
University of Beira Interior,Portugal,1372,601–800,39.0,23.8,23.4,71.4,51.2,39.7
University of Brighton,United Kingdom,2101,601–800,39.0,19.9,19.3,63.4,84.7,64.9
University of Cagliari,Italy,1015,601–800,39.0,33.8,24.0,64.3,40.5,62.7
University of Calabria,Italy,1016,601–800,39.0,39.5,21.9,62.4,42.5,59.7
University of Crete,Greece,898,601–800,39.0,24.7,29.1,68.5,46.2,66.3
University of Derby,United Kingdom,2115,601–800,39.0,19.0,14.1,74.0,80.2,34.6
University of Granada,Spain,1846,601–800,39.0,31.3,29.7,60.9,53.4,60.7
University of Greenwich,United Kingdom,2130,601–800,39.0,17.6,16.5,81.6,97.1,39.1
University of Hertfordshire,United Kingdom,2133,601–800,39.0,18.2,13.2,76.5,92.1,44.8
University of Insubria,Italy,1040,601–800,39.0,19.0,23.7,79.3,41.2,48.7
University of Klagenfurt,Austria,68,601–800,39.0,34.4,19.6,60.5,89.0,49.5
University of Lille,France,,601–800,39.0,33.6,23.4,58.5,65.1,67.0
University of Lincoln,United Kingdom,2157,601–800,39.0,20.5,18.5,77.2,86.9,34.1
