the_name,country,matched_university_id,world_rank,overall_score,teaching,research,citations_or_research_quality,international_outlook,industry_income
University of Oxford,United Kingdom,2178,1,98.2,97.2,100.0,97.7,96.4,99.9
University of Cambridge,United Kingdom,2104,=3,97.2,96.2,99.9,97.1,96.3,87.6
Imperial College London,United Kingdom,2140,8,94.7,90.6,94.9,98.0,98.2,91.9
ETH Zurich,Switzerland,1963,11,93.1,88.5,97.2,94.5,95.1,83.7
UCL,United Kingdom,,22,87.5,77.8,85.9,97.6,97.5,74.7
Technical University of Munich,Germany,,27,83.4,71.9,84.8,91.3,83.4,100.0
University of Edinburgh,United Kingdom,2120,29,82.5,75.7,74.7,94.8,96.2,71.0
LMU Munich,Germany,,34,79.7,68.4,75.4,92.4,78.7,100.0
École Polytechnique Fédérale de Lausanne,Switzerland,,35,79.6,73.5,70.8,87.5,95.4,99.9
King’s College London,United Kingdom,,38,78.7,64.2,72.1,95.5,96.9,72.3
KU Leuven,Belgium,2386,46,76.8,61.3,73.8,91.3,79.2,100.0
Paris Sciences et Lettres – PSL Research University Paris,France,,48,76.5,74.2,71.8,79.8,77.9,99.7
Universität Heidelberg,Germany,,49,76.3,68.3,61.4,95.3,80.2,93.7
London School of Economics and Political Science,United Kingdom,2164,52,75.4,60.5,71.2,93.4,94.2,46.8
Karolinska Institute,Sweden,,=53,75.0,59.6,66.0,95.5,77.8,94.7
University of Manchester,United Kingdom,2166,56,74.9,61.2,65.9,92.4,94.5,74.0
Delft University of Technology,Netherlands,1166,57,74.3,64.1,75.1,75.5,92.1,100.0
University of Amsterdam,Netherlands,1172,=62,73.7,55.4,63.6,96.6,92.5,76.0
Wageningen University & Research,Netherlands,,66,72.2,58.6,58.4,90.4,91.6,99.5
Institut Polytechnique de Paris,France,,=68,71.6,71.8,62.4,70.9,95.1,99.1
Université Paris-Saclay,France,2331,=68,71.6,67.9,62.2,80.6,76.0,92.4
Leiden University,Netherlands,,=70,71.3,49.3,63.3,93.6,85.2,99.1
Sorbonne University,France,,=76,70.4,67.6,59.2,81.6,78.4,73.1
University of Bristol,United Kingdom,2098,=80,69.7,51.4,56.5,94.4,91.8,74.6
University of Groningen,Netherlands,1161,82,69.3,47.4,55.9,94.1,91.7,99.7
University of Glasgow,United Kingdom,2126,84,68.9,50.6,52.2,95.9,95.5,73.2
