id,name,country,country_code,city,lat,lon,field_category,field_category_en,field_category_it,fields_offered,fields_source,monthly_room_rent_eur,room_rent_level,room_rent_source,domain,website,the_world_rank,the_overall_score,the_teaching,the_research,the_citations,the_international_outlook,the_industry_income
11,Académie d'Aix-Marseille,France,FR,Marseille,43.29695,5.38107,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),EDU,ETER,545,city,https://www.locservice.fr/bouches-du-rhone-13/location-chambre-marseille.html,ac-aix-marseille.fr,https://www.ac-aix-marseille.fr/,,,,,,,
12,Académie de Créteil,France,FR,Créteil,48.79266,2.46569,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),EDU,ETER,500,country:city-derived,https://erasmusplay.com/en/strasbourg.html,ac-creteil.fr,https://www.ac-creteil.fr/,,,,,,,
13,Futureworks,United Kingdom,GB,Salford,53.48771,-2.29042,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),ART|HUM|ICT,ETER,827,city,https://www.spareroom.co.uk/content/info-flatsharing/average-rent-uk-towns-cities/,futureworks.ac.uk,https://futureworks.ac.uk/,,,,,,,
14,University of the Arts London,United Kingdom,GB,London,51.50853,-0.12574,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,1132,city,https://m.spareroom.co.uk/content/info-flatsharing/average-rent-uk-towns-cities/,arts.ac.uk,https://www.arts.ac.uk/,1501+,10.3,23.9,11.8,25.4,74.1,19.3
15,Academy of Sports and Physical Training,Albania,AL,Tirana,41.32744,19.81866,EDU,Education & Sport Sciences,Scienze della Formazione e dello Sport,EDU,name-heuristic,266,city,https://www.numbeo.com/cost-of-living/in/Tirana,aefs.edu.al,http://www.aefs.edu.al/,,,,,,,
16,Academy of Arts,Albania,AL,Tirana,41.32744,19.81866,ART,"Arts, Design & Music","Arte, Design e Musica",ART,name-heuristic,266,city,https://www.numbeo.com/cost-of-living/in/Tirana,akademiaearteve.edu.al,http://www.akademiaearteve.edu.al/,,,,,,,
17,Beder University,Albania,AL,Tirana,41.32744,19.81866,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),ART|BUS|EDU|HUM|ICT|LAW|SOC,ETER,266,city,https://www.numbeo.com/cost-of-living/in/Tirana,beder.edu.al,http://www.beder.edu.al/,,,,,,,
18,Epoka University,Albania,AL,Tirana,41.32744,19.81866,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),ARC|BUS|ENG|ICT|LAW|SOC,ETER,266,city,https://www.numbeo.com/cost-of-living/in/Tirana,epoka.edu.al,http://www.epoka.edu.al/,,,,,,,
19,American University of Tirana,Albania,AL,Tirana,41.32744,19.81866,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,266,city,https://www.numbeo.com/cost-of-living/in/Tirana,uat.edu.al,http://www.uat.edu.al/,,,,,,,
20,Agricultural University of Tirana,Albania,AL,Tirana,41.32744,19.81866,AGR,"Agriculture, Forestry & Veterinary",Agraria e Veterinaria,AGR|ARC|BUS|ENG|ICT|LAW|MED|SCI|SOC,ETER,266,city,https://www.numbeo.com/cost-of-living/in/Tirana,ubt.edu.al,http://www.ubt.edu.al/,,,,,,,
21,"University of Elbasan ""Aleksander Xhuvani""",Albania,AL,Elbasan,41.11138,20.08224,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,70,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,uniel.edu.al,http://www.uniel.edu.al/,,,,,,,
22,University “Pavaresia” Vlore,Albania,AL,Vlorë,40.4696,19.48379,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),ARC|BUS|ENG|ICT|LAW|SOC,ETER,54,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,unipavaresia.edu.al,http://www.unipavaresia.edu.al/,,,,,,,
23,"University of Shkodra ""Luigj Gurakuqi""",Albania,AL,Shkodër,42.06828,19.51258,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,55,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,unishk.edu.al,http://www.unishk.edu.al/,,,,,,,
24,University of Tirana,Albania,AL,Tirana,41.32744,19.81866,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,266,city,https://www.numbeo.com/cost-of-living/in/Tirana,unitir.edu.al,http://www.unitir.edu.al/,Reporter,,,,,,
25,"University of Vlora ""Ismail Qemali""",Albania,AL,Vlorë,40.4696,19.48379,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,54,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,univlora.edu.al,http://www.univlora.edu.al/,,,,,,,
26,"University of Korca ""Fan Noli""",Albania,AL,Korçë,40.61861,20.78083,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,56,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,unkorce.edu.al,http://www.unkorce.edu.al/,,,,,,,
27,University of New York Tirana,Albania,AL,Tirana,41.32744,19.81866,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),BUS|EDU|ICT|LAW|SOC,ETER,266,city,https://www.numbeo.com/cost-of-living/in/Tirana,unyt.edu.al,http://www.unyt.edu.al/,,,,,,,
28,"University of Gjirokstra ""Eqerem Cabej""",Albania,AL,Gjirokastër,40.07583,20.13889,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,230,country:city-derived,https://realting.com/albania/property-to-rent,uogj.edu.al,http://www.uogj.edu.al/,,,,,,,
29,Polytechnic University of Tirana,Albania,AL,Tirana,41.32744,19.81866,ENG,Engineering & Technology,Ingegneria e Tecnologia,ENG,name-heuristic,266,city,https://www.numbeo.com/cost-of-living/in/Tirana,upt.al,http://www.upt.al/,,,,,,,
30,Ecole pour l'Informatique et les nouvelles Technologies - Albania,Albania,AL,Tirana,41.32744,19.81866,ENG,Engineering & Technology,Ingegneria e Tecnologia,ENG,name-heuristic,266,city,https://www.numbeo.com/cost-of-living/in/Tirana,epitech.al,http://www.epitech.al/,,,,,,,
31,University of Andorra,Andorra,AD,Andorra la Vella,42.50779,1.52109,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),BUS|EDU|ICT|LAW|MED,ETER,333,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,uda.ad,http://www.uda.ad/,,,,,,,
32,Akademie der bildenden Künste Wien,Austria,AT,Vienna,48.20849,16.37208,ART,"Arts, Design & Music","Arte, Design e Musica",ART,name-heuristic,570,city,https://housinganywhere.com/Vienna--Austria/vienna-cost-of-living,akbild.ac.at,http://www.akbild.ac.at/,,,,,,,
33,Universität für Bodenkultur Wien,Austria,AT,Vienna,48.20849,16.37208,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,570,city,https://housinganywhere.com/Vienna--Austria/vienna-cost-of-living,boku.ac.at,http://www.boku.ac.at/,,,,,,,
34,Donau-Universität Krems,Austria,AT,Krems,,,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,480,country:city-derived,https://www.wg-gesucht.de/en/wg-zimmer-in-Wien.163.0.1.0.html,donau-uni.ac.at,http://www.donau-uni.ac.at/,,,,,,,
35,Fachhochschule Burgenland,Austria,AT,Eisenstadt,,,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,480,country:city-derived,https://www.wg-gesucht.de/en/wg-zimmer-in-Wien.163.0.1.0.html,fh-burgenland.at,http://www.fh-burgenland.at/,,,,,,,
36,Fachhochschulstudiengänge Hagenberg,Austria,AT,Hagenberg,,,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,480,country:city-derived,https://www.wg-gesucht.de/en/wg-zimmer-in-Wien.163.0.1.0.html,fh-hagenberg.at,http://www.fh-hagenberg.at/,,,,,,,
37,Fachhochschule JOANNEUM,Austria,AT,Graz,47.06733,15.44197,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,490,city,https://housinganywhere.com/s/Graz--Austria/private-rooms,fh-joanneum.at,http://www.fh-joanneum.at/,,,,,,,
38,Fachhochschule Kärnten,Austria,AT,Villach,46.61028,13.85583,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,480,country:city-derived,https://www.wg-gesucht.de/en/wg-zimmer-in-Wien.163.0.1.0.html,fh-kaernten.ac.at,http://www.fh-kaernten.ac.at/,,,,,,,
39,Fachhochschule Krems,Austria,AT,Krems,,,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,480,country:city-derived,https://www.wg-gesucht.de/en/wg-zimmer-in-Wien.163.0.1.0.html,fh-krems.ac.at,http://www.fh-krems.ac.at/,,,,,,,
40,Fachhochschule Kufstein (Tirol),Austria,AT,Kufstein,,,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,480,country:city-derived,https://www.wg-gesucht.de/en/wg-zimmer-in-Wien.163.0.1.0.html,fh-kufstein.ac.at,http://www.fh-kufstein.ac.at/,,,,,,,
41,Fachhochschule Salzburg,Austria,AT,Salzburg,47.79941,13.04399,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,415,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,fh-sbg.ac.at,http://www.fh-sbg.ac.at/,,,,,,,
42,Fachhochschulstudiengänge Steyr,Austria,AT,Steyr,48.04274,14.42127,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,299,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,fh-steyr.at,http://www.fh-steyr.at/,,,,,,,
43,Fachhochschule St. Pölten,Austria,AT,Sankt Pölten,48.20762,15.63725,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,299,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,fh-stpoelten.ac.at,http://www.fh-stpoelten.ac.at/,,,,,,,
44,Fachhochschule Vorarlberg,Austria,AT,Dornbirn,47.41427,9.74195,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,480,country:city-derived,https://www.wg-gesucht.de/en/wg-zimmer-in-Wien.163.0.1.0.html,fhv.at,http://www.fhv.at/,,,,,,,
45,Fachhochschule für Bank- und Finanzwirtschaft,Austria,AT,Vienna,48.20849,16.37208,BUS,"Business, Economics & Management",Economia e Management,BUS,name-heuristic,570,city,https://housinganywhere.com/Vienna--Austria/vienna-cost-of-living,fh-vie.ac.at,http://www.fh-vie.ac.at/,,,,,,,
46,Fachhochschulstudiengänge der Wiener Wirtschaft,Austria,AT,Vienna,48.20849,16.37208,BUS,"Business, Economics & Management",Economia e Management,BUS,name-heuristic,570,city,https://housinganywhere.com/Vienna--Austria/vienna-cost-of-living,fhw.at,http://www.fhw.at/,,,,,,,
47,Fachhochschulstudiengänge Wels,Austria,AT,Wels,48.16667,14.03333,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,480,country:city-derived,https://www.wg-gesucht.de/en/wg-zimmer-in-Wien.163.0.1.0.html,fh-wels.at,http://www.fh-wels.at/,,,,,,,
48,Fachhochschule Wiener Neustadt,Austria,AT,Wiener Neustadt,47.80485,16.23196,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|BUS|EDU|ENG|ICT|LAW|MED|SCI|SOC,ETER,480,country:city-derived,https://www.wg-gesucht.de/en/wg-zimmer-in-Wien.163.0.1.0.html,fhwn.ac.at,http://www.fhwn.ac.at/,,,,,,,
49,Fachhochschulstudiengänge Krems IMC,Austria,AT,Krems,,,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|BUS|ENG|ICT|LAW|MED|SOC,ETER,480,country:city-derived,https://www.wg-gesucht.de/en/wg-zimmer-in-Wien.163.0.1.0.html,imc-krems.ac.at,http://www.imc-krems.ac.at/,,,,,,,
50,Medizinische Universität Innsbruck,Austria,AT,Innsbruck,47.26266,11.39454,MED,Medicine & Health,Medicina e Salute,MED,name-heuristic,401,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,i-med.ac.at,http://www.i-med.ac.at/,,,,,,,
51,Institute of Science and Technology,Austria,AT,Klosterneuburg,48.30521,16.32522,ENG,Engineering & Technology,Ingegneria e Tecnologia,ENG,name-heuristic,480,country:city-derived,https://www.wg-gesucht.de/en/wg-zimmer-in-Wien.163.0.1.0.html,ist.ac.at,http://www.ist.ac.at/,,,,,,,
52,Universität Graz,Austria,AT,Graz,47.06733,15.44197,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,490,city,https://housinganywhere.com/s/Graz--Austria/private-rooms,kfunigraz.ac.at,http://www.kfunigraz.ac.at/,501–600,43.6,32.3,24.1,65.3,81.2,51.0
53,Universität für künstlerische und industrielle Gestaltung Linz,Austria,AT,Linz,48.30639,14.28611,ART,"Arts, Design & Music","Arte, Design e Musica",ART,name-heuristic,314,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,khs-linz.ac.at,http://www.khs-linz.ac.at/,,,,,,,
54,Katholisch-Theologische Privatuniversität Linz,Austria,AT,Linz,48.30639,14.28611,THEO,Theology & Religious Studies,Teologia e Studi Religiosi,THEO,name-heuristic,314,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,kth-linz.ac.at,http://www.kth-linz.ac.at/,,,,,,,
55,Universität für Musik und darstellende Kunst Graz,Austria,AT,Graz,47.06733,15.44197,ART,"Arts, Design & Music","Arte, Design e Musica",ART,name-heuristic,490,city,https://housinganywhere.com/s/Graz--Austria/private-rooms,kug.ac.at,http://www.kug.ac.at/,,,,,,,
56,MCI-Management Center Innsbruck,Austria,AT,Innsbruck,47.26266,11.39454,BUS,"Business, Economics & Management",Economia e Management,AGR|ARC|BUS|ENG|ICT|LAW|MED|SOC,ETER,401,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,mci.edu,http://www.mci.edu/,,,,,,,
57,Universität für Musik und darstellende Kunst Wien,Austria,AT,Vienna,48.20849,16.37208,ART,"Arts, Design & Music","Arte, Design e Musica",ART,name-heuristic,570,city,https://housinganywhere.com/Vienna--Austria/vienna-cost-of-living,mdw.ac.at,http://www.mdw.ac.at/,,,,,,,
58,Medizinische Universität Graz,Austria,AT,Graz,47.06733,15.44197,MED,Medicine & Health,Medicina e Salute,MED,name-heuristic,490,city,https://housinganywhere.com/s/Graz--Austria/private-rooms,meduni-graz.at,http://www.meduni-graz.at/,,,,,,,
59,Medizinische Universität Wien,Austria,AT,Vienna,48.20849,16.37208,MED,Medicine & Health,Medicina e Salute,MED,name-heuristic,570,city,https://housinganywhere.com/Vienna--Austria/vienna-cost-of-living,meduniwien.at,http://www.meduniwien.at/,,,,,,,
60,Universität Mozarteum Salzburg,Austria,AT,Salzburg,47.79941,13.04399,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),ART|EDU|HUM,ETER,415,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,moz.ac.at,http://www.moz.ac.at/,,,,,,,
61,Universität für angewandte Kunst Wien,Austria,AT,Vienna,48.20849,16.37208,ART,"Arts, Design & Music","Arte, Design e Musica",ART,name-heuristic,570,city,https://housinganywhere.com/Vienna--Austria/vienna-cost-of-living,ns2.uni-ak.ac.at,http://ns2.uni-ak.ac.at/,,,,,,,
62,Universität Salzburg,Austria,AT,Salzburg,47.79941,13.04399,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,415,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,sbg.ac.at,http://www.sbg.ac.at/,,,,,,,
63,Technikum Wien,Austria,AT,Vienna,48.20849,16.37208,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,570,city,https://housinganywhere.com/Vienna--Austria/vienna-cost-of-living,technikum-wien.at,http://www.technikum-wien.at/,,,,,,,
64,Technische Universität Graz,Austria,AT,Graz,47.06733,15.44197,ENG,Engineering & Technology,Ingegneria e Tecnologia,ENG,name-heuristic,490,city,https://housinganywhere.com/s/Graz--Austria/private-rooms,tugraz.at,http://www.tugraz.at/,,,,,,,
65,Technische Universität Wien,Austria,AT,Vienna,48.20849,16.37208,ENG,Engineering & Technology,Ingegneria e Tecnologia,ENG,name-heuristic,570,city,https://housinganywhere.com/Vienna--Austria/vienna-cost-of-living,tuwien.ac.at,http://www.tuwien.ac.at/,,,,,,,
66,Universität Innsbruck,Austria,AT,Innsbruck,47.26266,11.39454,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,401,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,uibk.ac.at,http://www.uibk.ac.at/,301–350,51.6,35.7,36.8,69.6,93.7,87.8
67,Private Universität für Medizinische Informatik und Technik Tirol,Austria,AT,Hall in Tirol,,,MED,Medicine & Health,Medicina e Salute,MED,name-heuristic,480,country:city-derived,https://www.wg-gesucht.de/en/wg-zimmer-in-Wien.163.0.1.0.html,umit.at,http://www.umit.at/,,,,,,,
68,Universität Klagenfurt,Austria,AT,Klagenfurt am Wörthersee,46.62472,14.30528,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,280,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,uni-klu.ac.at,http://www.uni-klu.ac.at/,601–800,39.0,34.4,19.6,60.5,89.0,49.5
69,Montanuniversität Leoben,Austria,AT,Leoben,,,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,480,country:city-derived,https://www.wg-gesucht.de/en/wg-zimmer-in-Wien.163.0.1.0.html,unileoben.ac.at,http://www.unileoben.ac.at/,801–1000,35.5,40.7,21.3,34.6,77.6,78.6
70,Johannes Kepler Universität Linz,Austria,AT,Linz,48.30639,14.28611,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,314,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,jku.at,https://www.jku.at/,401–500,46.2,36.7,35.4,61.4,75.6,98.5
71,Universität Vienna,Austria,AT,Vienna,48.20849,16.37208,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,570,city,https://housinganywhere.com/Vienna--Austria/vienna-cost-of-living,univie.ac.at,http://www.univie.ac.at/,=95,66.6,50.0,60.9,79.8,94.0,80.0
72,Veterinärmedizinische Universität Wien,Austria,AT,Vienna,48.20849,16.37208,MED,Medicine & Health,Medicina e Salute,MED,name-heuristic,570,city,https://housinganywhere.com/Vienna--Austria/vienna-cost-of-living,vu-wien.ac.at,http://www.vu-wien.ac.at/,,,,,,,
73,"Webster University, Vienna",Austria,AT,Vienna,48.20849,16.37208,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),ART|BUS|HUM|ICT|LAW|SOC,ETER,570,city,https://housinganywhere.com/Vienna--Austria/vienna-cost-of-living,webster.ac.at,http://www.webster.ac.at/,,,,,,,
74,Wirtschaftsuniversität Wien,Austria,AT,Vienna,48.20849,16.37208,BUS,"Business, Economics & Management",Economia e Management,BUS,name-heuristic,570,city,https://housinganywhere.com/Vienna--Austria/vienna-cost-of-living,wu-wien.ac.at,http://www.wu-wien.ac.at/,,,,,,,
75,Academy of the Ministry of Internal Affairs of the Republic of Belarus,Belarus,BY,Minsk,53.90019,27.56653,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,149,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,academy.mia.by,https://www.amia.by/,,,,,,,
76,Belarusian State Agricultural Academy,Belarus,BY,Horki,54.28606,30.98604,AGR,"Agriculture, Forestry & Veterinary",Agraria e Veterinaria,AGR,name-heuristic,150,country:estimate,https://www.numbeo.com/cost-of-living/region_prices_by_city?itemId=27&region=150,baa.by,https://baa.by/,,,,,,,
77,Belarusian State Agrarian Technical University,Belarus,BY,Minsk,53.90019,27.56653,ENG,Engineering & Technology,Ingegneria e Tecnologia,ENG,name-heuristic,149,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,batu.edu.by,https://www.bsatu.by/,,,,,,,
78,Belarusian State University of Transport,Belarus,BY,Homyel',52.4345,30.9754,EDU,Education & Sport Sciences,Scienze della Formazione e dello Sport,EDU,name-heuristic,150,country:estimate,https://www.numbeo.com/cost-of-living/region_prices_by_city?itemId=27&region=150,belsut.gomel.by,https://www.bsut.by/,,,,,,,
79,Belarusian State Academy of Music,Belarus,BY,Minsk,53.90019,27.56653,ART,"Arts, Design & Music","Arte, Design e Musica",ART,name-heuristic,149,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,bgam.edu.by,https://bgam.by/,,,,,,,
80,Belarusian National Technical University,Belarus,BY,Minsk,53.90019,27.56653,ENG,Engineering & Technology,Ingegneria e Tecnologia,ENG,name-heuristic,149,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,bntu.by,https://bntu.by/,1501+,10.3,24.7,11.1,10.9,65.8,45.0
81,Brest State University,Belarus,BY,Brest,52.10894,23.71749,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,60,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,brsu.brest.by,https://www.brsu.by/,,,,,,,
82,Belarusian-Russian University,Belarus,BY,Mahilyow,53.90876,30.34044,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,150,country:estimate,https://www.numbeo.com/cost-of-living/region_prices_by_city?itemId=27&region=150,bru.mogilev.by,http://en.bru.by/,,,,,,,
83,Belarusian State Economic University,Belarus,BY,Minsk,53.90019,27.56653,BUS,"Business, Economics & Management",Economia e Management,BUS,name-heuristic,149,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,bseu.by,http://bseu.by/,,,,,,,
84,Belarusian State Medical University,Belarus,BY,Minsk,53.90019,27.56653,MED,Medicine & Health,Medicina e Salute,MED,name-heuristic,149,city,https://raw.githubusercontent.com/HieuTam/P4DS-Global_Cost_of_Living/main/data/cost-of-living_v2.csv,bsmu.by,https://bsmu.by/,Reporter,,,,,,
