id,name,country,country_code,city,lat,lon,field_category,field_category_en,field_category_it,fields_offered,fields_source,monthly_room_rent_eur,room_rent_level,room_rent_source,domain,website,the_world_rank,the_overall_score,the_teaching,the_research,the_citations,the_international_outlook,the_industry_income
1,Hellenic College of Noah,Greece,GR,Irákleion,35.32787,25.14341,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,400,country:national-figure,https://housinganywhere.com/rent-index-by-city,noah.edu.gr,https://noah.edu.gr/,,,,,,,
2,Wroclaw Akademia Biznesu,Poland,PL,Wrocław,51.10286,17.03006,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,271,city,https://muratordom.pl/prawo/finanse/ceny-wynajmu-mieszkania-dla-studenta-we-wrzesniu-2025-ile-kosztuje-stancja-dla-studenta-aa-E8NK-97Hn-r11Z.html,student.wab.edu.pl,https://wab.edu.pl/,,,,,,,
3,West Herts College,United Kingdom,GB,Watford,51.65531,-0.39602,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,880,country:national-figure,https://www.spareroom.co.uk/content/info-statistics/annual-rental-market-summary-2025/,student.westherts.ac.uk,https://westherts.ac.uk/,,,,,,,
4,National Institute of Applied Sciences of Toulouse,France,FR,Toulouse,43.60426,1.44367,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|SCI|SOC,ETER,475,city,https://www.locservice.fr/haute-garonne-31/location-chambre-toulouse.html,insa-toulouse.fr,https://insa-toulouse.fr/,501–600,43.6,32.5,30.7,62.9,67.7,71.0
5,Kharkiv National University,Ukraine,UA,Kharkiv,49.98177,36.25475,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,78,city,https://www.numbeo.com/cost-of-living/in/Kharkiv,student.karazin.ua,https://karazin.ua/,1501+,10.3,24.5,9.2,15.7,33.1,19.0
6,IÉSEG School of Management,France,FR,Lille,50.63391,3.05512,BUS,"Business, Economics & Management",Economia e Management,BUS,name-heuristic,430,city,https://www.locservice.fr/nord-59/location-chambre-lille.html,ieseg.fr,https://ieseg.fr/,,,,,,,
7,Royal Holloway University of London,United Kingdom,GB,London,51.50853,-0.12574,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),ART|BUS|EDU|HUM|ICT|LAW|SCI|SOC,ETER,1132,city,https://m.spareroom.co.uk/content/info-flatsharing/average-rent-uk-towns-cities/,rhul.ac.uk,https://rhul.ac.uk/,401–500,46.2,32.3,28.9,72.2,92.5,65.1
8,University of Portsmouth,United Kingdom,GB,Portsmouth,50.79899,-1.09125,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),AGR|ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,755,city,https://www.spareroom.co.uk/content/info-flatsharing/average-rent-uk-towns-cities/,port.ac.uk,http://www.port.ac.uk/,401–500,46.2,22.0,20.1,88.7,94.5,51.1
9,Central Supélec,France,FR,Gif-sur-Yvette,48.68333,2.13333,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),COMP,name-heuristic,500,country:city-derived,https://erasmusplay.com/en/strasbourg.html,centralesupelec.fr,https://www.centralesupelec.fr/,,,,,,,
10,Académie de Paris,France,FR,Paris,48.85341,2.3488,COMP,Comprehensive (multi-field),Generalista (multidisciplinare),ARC|ART|BUS|EDU|ENG|HUM|ICT|LAW|MED|SCI|SOC,ETER,800,city,https://housinganywhere.com/Paris--France/paris-cost-of-living,ac-paris.fr,https://www.ac-paris.fr/,,,,,,,
