city,country,country_code,currency,monthly_rent_eur,monthly_other_eur,monthly_total_eur,official_student_budget_eur_month,source_numbeo_url,source_official_url,access_note
Munich,Germany,DE,EUR,1207.96,1109.9,2317.86,992,https://www.numbeo.com/cost-of-living/in/Munich,https://www.daad.de/en/studying-in-germany/living-in-germany/finances/,"Numbeo, accessed June 2026 (rent = 1 bedroom outside centre; other = single person without rent). Official: DAAD/German student-visa blocked-account proof EUR 992/month as of 1 Jan 2025"
Heidelberg,Germany,DE,EUR,874.78,1030.3,1905.08,992,https://www.numbeo.com/cost-of-living/in/Heidelberg,https://www.daad.de/en/studying-in-germany/living-in-germany/finances/,"Numbeo, accessed June 2026; Official: DAAD EUR 992/month as of 1 Jan 2025"
Paris,France,FR,EUR,1040.01,1065.5,2105.51,615,https://www.numbeo.com/cost-of-living/in/Paris,https://www.campusfrance.org/en/preparing-budget-student-France,"Numbeo, accessed June 2026; Official: Campus France student-visa minimum EUR 615/month (EUR 7,380/year); Paris higher"
Milan,Italy,IT,EUR,1050.38,1036.8,2087.18,850,https://www.numbeo.com/cost-of-living/in/Milan,https://www.unipd.it/en/studying-padova/funding-and-fees/living-costs,"Numbeo, accessed June 2026; Italy has no national figure; official uses University of Padova estimate EUR 850/month (not Milan-specific)"
Bologna,Italy,IT,EUR,780.86,973.3,1754.16,850,https://www.numbeo.com/cost-of-living/in/Bologna,https://www.unipd.it/en/studying-padova/funding-and-fees/living-costs,"Numbeo, accessed June 2026; official = University of Padova estimate EUR 850/month (national proxy)"
Rome,Italy,IT,EUR,806.0,847.2,1653.2,850,https://www.numbeo.com/cost-of-living/in/Rome,https://www.unipd.it/en/studying-padova/funding-and-fees/living-costs,"Numbeo, accessed June 2026; official = University of Padova estimate EUR 850/month (national proxy)"
Amsterdam,Netherlands,NL,EUR,1733.82,1197.1,2930.92,1250,https://www.numbeo.com/cost-of-living/in/Amsterdam,https://www.studyinnl.org/finances/daily-student-expenses-and-cost-of-living-in-the-netherlands,"Numbeo, accessed June 2026; Official: Nuffic/Study in NL EUR 1,000-1,500/month; midpoint 1,250"
Delft,Netherlands,NL,EUR,1258.33,1014.2,2272.53,1250,https://www.numbeo.com/cost-of-living/in/Delft,https://www.studyinnl.org/finances/daily-student-expenses-and-cost-of-living-in-the-netherlands,"Numbeo, accessed June 2026; Official: Nuffic EUR 1,000-1,500/month; midpoint 1,250 (national)"
Leuven,Belgium,BE,EUR,873.5,890.2,1763.7,1062,https://www.numbeo.com/cost-of-living/in/Leuven,https://dofi.ibz.be/en/themes/ressortissants-dun-pays-tiers/etudes/favoris/sufficient-means-subsistence,"Numbeo, accessed June 2026; Official: Belgian IBZ student-visa means EUR 1,062 net/month for academic year 2026-27"
Madrid,Spain,ES,EUR,1012.78,821.6,1834.38,600,https://www.numbeo.com/cost-of-living/in/Madrid,https://movingtospain.com/iprem-spain/,"Numbeo, accessed June 2026; Official: Spanish student-visa financial-means = 100% IPREM = EUR 600/month 2026 (consulates often apply ~700)"
Barcelona,Spain,ES,EUR,1104.56,819.1,1923.66,600,https://www.numbeo.com/cost-of-living/in/Barcelona,https://movingtospain.com/iprem-spain/,"Numbeo, accessed June 2026; Official: Spanish IPREM EUR 600/month 2026"
Vienna,Austria,AT,EUR,824.38,1078.8,1903.18,722.58,https://www.numbeo.com/cost-of-living/in/Vienna,https://oead.at/en/to-austria/entry-and-residence/residence-permit-student-no-mobility-programme,"Numbeo, accessed June 2026; Official: Austrian residence-permit means for students under 24 = EUR 722.58/month 2026; 24+ = EUR 1,308.39"
Zurich,Switzerland,CH,EUR,2082.78,1670.0,3752.78,1909.5,https://www.numbeo.com/cost-of-living/in/Zurich,https://www.uzh.ch/en/studies/application/entry/guidelines.html,"Original CHF. Numbeo accessed June 2026; rent converted at ECB 0.9168 CHF/EUR. Official: Canton of Zurich student permit CHF 21,000/year = ~EUR 1,909.5/month"
Lausanne,Switzerland,CH,EUR,1489.49,1473.1,2962.59,1909.5,https://www.numbeo.com/cost-of-living/in/Lausanne,https://www.study-abroad.org/blog/ch-student-visa-guide/,"Original CHF. Numbeo accessed June 2026; rent converted at ECB 0.9168 CHF/EUR. Official: Swiss student-visa CHF 21,000/year (~EUR 1,909.5/month); Vaud may differ"
Stockholm,Sweden,SE,EUR,1012.4,1186.1,2198.5,1009.0,https://www.numbeo.com/cost-of-living/in/Stockholm,https://www.migrationsverket.se/en/you-want-to-apply/study/higher-education.html,"Original SEK. Numbeo accessed June 2026; rent converted at ECB 10.8803 SEK/EUR. Official: Swedish Migration Agency maintenance ~SEK 10,980/month ~EUR 1,009"
Lund,Sweden,SE,EUR,618.86,907.8,1526.66,1009.0,https://www.numbeo.com/cost-of-living/in/Lund,https://www.migrationsverket.se/en/you-want-to-apply/study/higher-education.html,"Original SEK. Numbeo accessed June 2026; rent converted at ECB 10.8803 SEK/EUR. Official: Swedish maintenance ~EUR 1,009/month (national)"
Copenhagen,Denmark,DK,EUR,1180.65,1159.3,2339.95,993.55,https://www.numbeo.com/cost-of-living/in/Copenhagen,https://www.nyidanmark.dk/en-GB/You-want-to-apply/Study/Higher-Education,"Original DKK. Numbeo accessed June 2026; rent converted at ECB 7.4742 DKK/EUR. Official: Danish study-permit means DKK 7,426/month (2026) = EUR 993.55"
Helsinki,Finland,FI,EUR,779.0,982.0,1761.0,800,https://www.numbeo.com/cost-of-living/in/Helsinki,https://migri.fi/en/income-requirement-for-students,"Numbeo, accessed June 2026; Official: Finnish Immigration Service income requirement EUR 800/month (EUR 9,600/year)"
